ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*,SUFF2_PFMF,SUFF2_FamSize,SUFF2_Freq_HAL,SUFF2_length,SUFF2_P,SUFF2_P*,SUFF3_PFMF,SUFF3_FamSize,SUFF3_Freq_HAL,SUFF3_length,SUFF3_P,SUFF3_P*
3287,transcendentally,RB,4,"0,1,3",{(transcend)}>ant>>al>>ly>,"62,5",9,5007,"77,7537797",464,1534593,3,"7,82E-06","0,001853854472","77,27272727",1431,4704731,2,"9,14E-06","0,006642978526","51,05281326",2898,3857999,2,"4,48E-05","0,02672640198"
3320,transitionally,RB,4,"0,1,3",{(transit)}>ion>>al>>ly>,"90,90909091",12,14992,"97,55944931",1599,6530204,3,"9,03E-06","0,009114784489","96,08391608",1431,4704731,2,"9,14E-06","0,006642978526","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
4130,theistical,JJ,4,"0,1,3",{(theo)>ist>}>ic>>al>,100,29,30978,"95,66160521",462,382916,3,"6,27E-05","0,003707708945","94,37314906",1014,1472797,2,"2,78E-05","0,006334002781","96,08391608",1431,4704731,2,"9,14E-06","0,006642978526"
4437,tangentially,RB,4,"0,1,3",{(tang)>ant>}>al>>ly>,"66,66666667",7,5066,"57,88336933",464,1534593,3,"7,82E-06","0,001853854472","54,82517483",1431,4704731,2,"9,14E-06","0,006642978526","29,23714187",2898,3857999,2,"4,48E-05","0,02672640198"
4735,temperamentally,RB,4,"0,1,3",{(temper)>ment>}>al>>ly>,75,13,24615,"71,08013937",288,1423689,4,"1,26E-05","0,002780781709","68,95104895",1431,4704731,2,"9,14E-06","0,006642978526","41,73282706",2898,3857999,2,"4,48E-05","0,02672640198"
5593,surgically,RB,4,"0,1,3",{(surg)>ic>>al>}>ly>,100,3,11589,"30,30602172",1014,1472797,2,"2,78E-05","0,006334002781","40,34965035",1431,4704731,2,"9,14E-06","0,006642978526","18,88160166",2898,3857999,2,"4,48E-05","0,02672640198"
5895,structurally,RB,4,"0,1,3",{(struct)>ure>}>al>>ly>,"54,28571429",36,214564,"54,63917526",98,541479,3,"3,69E-06","0,0003089757454","42,86713287",1431,4704731,2,"9,14E-06","0,006642978526","20,29685882",2898,3857999,2,"4,48E-05","0,02672640198"
5917,studiously,RB,4,"0,1,3",{(stud)>y>}>ious>>ly>,50,9,219676,"28,93360161",2486,3870233,1,"4,99E-05","0,02981615943","31,16883117",617,450833,4,"7,10E-05","0,004943611926","30,85950984",2898,3857999,2,"4,48E-05","0,02672640198"
5918,studiousness,NN,4,"0,1,3",{(stud)>y>}>ious>>ness>,100,9,219676,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","87,98701299",617,450833,4,"7,10E-05","0,004943611926","81,80354267",1243,181553,4,"0,0005838515475","0,01637571451"
5969,stylistically,RB,4,"0,1,3",{(style)}>ist>>ic>>ly>,"57,14285714",15,59145,"41,64859002",462,382916,3,"6,27E-05","0,003707708945","41,46100691",1014,1472797,2,"2,78E-05","0,006334002781","25,85433207",2898,3857999,2,"4,48E-05","0,02672640198"
6523,spectacularly,RB,4,"0,1,3",{(spect)>acul>>ar>}>ly>,48,26,54264,50,3,6230,4,0,0,"47,65625",129,533962,2,"7,49E-06","0,0006179514908","21,64307905",2898,3857999,2,"4,48E-05","0,02672640198"
6634,spiritualistic,JJ,4,"0,1,3",{(spirit)}>al>>ist>>ic>,"78,57142857",15,66854,"89,37062937",1431,4704731,2,"9,14E-06","0,006642978526","88,5032538",462,382916,3,"6,27E-05","0,003707708945","84,89634748",1014,1472797,2,"2,78E-05","0,006334002781"
6636,spiritualization,NN,4,"0,1,3",{(spirit)}>al>>ize>>ion>,"71,42857143",15,66854,"88,32167832",1431,4704731,2,"9,14E-06","0,006642978526","83,68298368",430,443161,3,"0,0001489300728","0,0101961996","92,05256571",1599,6530204,3,"9,03E-06","0,009114784489"
6951,socializations,NN,4,"0,1,3",{(socio)>al>}>ize>>ion>,40,26,263518,"30,83916084",1431,4704731,2,"9,14E-06","0,006642978526","18,41491841",430,443161,3,"0,0001489300728","0,0101961996","35,48185232",1599,6530204,3,"9,03E-06","0,009114784489"
7110,sophisticating,VB,4,"0,1,3",{(soph)>ist>>ic>>ate>},"7,142857143",15,39925,"2,819956616",462,382916,3,"6,27E-05","0,003707708945","4,343534057",1014,1472797,2,"2,78E-05","0,006334002781","9,508547009",937,2569118,3,"2,65E-05","0,01050517534"
7394,slipperier,JJ,4,"0,1,3",{(slip)}>er>>y>>er>,"62,5",17,39390,"60,66871975",2274,4569119,2,"3,55E-05","0,02502703538","47,56539235",2486,3870233,1,"4,99E-05","0,02981615943","60,66871975",2274,4569119,2,"3,55E-05","0,02502703538"
7395,slipperiest,JJ,4,"0,1,3",{(slip)}>er>>y>>est>,"87,5",17,39390,"70,91948966",2274,4569119,2,"3,55E-05","0,02502703538","59,31589537",2486,3870233,1,"4,99E-05","0,02981615943","40,67321178",714,287086,3,"0,0002612457591","0,01158659045"
7396,slipperiness,NN,4,"0,1,3",{(slip)}>er>>y>>ness>,"56,25",17,39390,"55,52133744",2274,4569119,2,"3,55E-05","0,02502703538","42,53521127",2486,3870233,1,"4,99E-05","0,02981615943","26,48953301",1243,181553,4,"0,0005838515475","0,01637571451"
8020,serviceability,NN,4,"0,1,3",{(serve)>ice>}>able>>ity>,"66,66666667",43,651056,"66,66666667",16,409276,3,"2,44E-06","0,0001544878727","51,66475316",872,1227992,4,"3,18E-05","0,006025027035","62,1761658",580,1647588,3,"1,76E-05","0,004480148308"
8021,serviceableness,NN,4,"0,1,3",{(serve)>ice>}>able>>ness>,"95,23809524",43,651056,100,16,409276,3,"2,44E-06","0,0001544878727","93,22617681",872,1227992,4,"3,18E-05","0,006025027035","81,80354267",1243,181553,4,"0,0005838515475","0,01637571451"
8022,serviceably,RB,4,"0,1,3",{(serve)>ice>}>able>>y>,"92,85714286",43,651056,"93,33333333",16,409276,3,"2,44E-06","0,0001544878727","88,97818599",872,1227992,4,"3,18E-05","0,006025027035","73,64185111",2486,3870233,1,"4,99E-05","0,02981615943"
8538,sectionalism,NN,4,"0,1,3",{(sect)>ion>}>al>>ism>,"94,44444444",19,147908,"89,79974969",1599,6530204,3,"9,03E-06","0,009114784489","85,24475524",1431,4704731,2,"9,14E-06","0,006642978526","86,66666667",271,218200,3,"5,50E-05","0,001853854472"
8720,sentimentalism,NN,4,"0,1,3",{(senti)>ment>}>al>>ism>,"57,14285714",8,5655,"80,13937282",288,1423689,4,"1,26E-05","0,002780781709","77,27272727",1431,4704731,2,"9,14E-06","0,006642978526","76,2962963",271,218200,3,"5,50E-05","0,001853854472"
8721,sentimentalist,NN,4,"0,1,3",{(senti)>ment>}>al>>ist>,"42,85714286",8,5655,"73,86759582",288,1423689,4,"1,26E-05","0,002780781709","73,14685315",1431,4704731,2,"9,14E-06","0,006642978526","70,28199566",462,382916,3,"6,27E-05","0,003707708945"
8722,sentimentalized,JJ|VB,4,"0,1,3",{(senti)>ment>}>al>>ize>,"85,71428571",8,5655,"85,71428571",288,1423689,4,"1,26E-05","0,002780781709","83,77622378",1431,4704731,2,"9,14E-06","0,006642978526","79,25407925",430,443161,3,"0,0001489300728","0,0101961996"
8723,sentimentalizes,VB,4,"0,1,3",{(senti)>ment>}>al>>ize>,"85,71428571",8,5655,"85,71428571",288,1423689,4,"1,26E-05","0,002780781709","83,77622378",1431,4704731,2,"9,14E-06","0,006642978526","79,25407925",430,443161,3,"0,0001489300728","0,0101961996"
8724,sentimentalizing,VB|NN|JJ,4,"0,1,3",{(senti)>ment>}>al>>ize>,"85,71428571",8,5655,"85,71428571",288,1423689,4,"1,26E-05","0,002780781709","83,77622378",1431,4704731,2,"9,14E-06","0,006642978526","79,25407925",430,443161,3,"0,0001489300728","0,0101961996"
8725,sentimentally,RB,4,"0,1,3",{(senti)>ment>}>al>>ly>,"71,42857143",8,5655,"83,27526132",288,1423689,4,"1,26E-05","0,002780781709","80,55944056",1431,4704731,2,"9,14E-06","0,006642978526","55,91991716",2898,3857999,2,"4,48E-05","0,02672640198"
8779,serialization,NN,4,"0,1,3",{(seri)>al>}>ize>>ion>,60,6,30987,"59,86013986",1431,4704731,2,"9,14E-06","0,006642978526","47,55244755",430,443161,3,"0,0001489300728","0,0101961996","66,08260325",1599,6530204,3,"9,03E-06","0,009114784489"
8780,serializations,NN,4,"0,1,3",{(seri)>al>}>ize>>ion>,60,6,30987,"59,86013986",1431,4704731,2,"9,14E-06","0,006642978526","47,55244755",430,443161,3,"0,0001489300728","0,0101961996","66,08260325",1599,6530204,3,"9,03E-06","0,009114784489"
9265,sacrificially,RB,4,"0,1,3",{(sacro)>fice>}>al>>ly>,"76,92307692",14,25808,100,3,17435,4,0,0,"78,67132867",1431,4704731,2,"9,14E-06","0,006642978526","52,84777356",2898,3857999,2,"4,48E-05","0,02672640198"
9267,sacrilegiously,RB,4,"0,1,3",{(sacro)>lege>}>ious>>ly>,100,14,25808,100,3,236,4,0,0,"79,54545455",617,450833,4,"7,10E-05","0,004943611926","76,97618226",2898,3857999,2,"4,48E-05","0,02672640198"
9554,satanically,RB,4,"0,1,3",{(satan)}>ic>>al>>ly>,100,5,13354,"73,54392892",1014,1472797,2,"2,78E-05","0,006334002781","79,44055944",1431,4704731,2,"9,14E-06","0,006642978526","54,02140145",2898,3857999,2,"4,48E-05","0,02672640198"
10145,reverentially,RB,4,"0,1,3",{(rever)>ance>}>al>>ly>,100,9,3206,"90,68322981",323,977837,4,"7,16E-06","0,001081415109","91,53846154",1431,4704731,2,"9,14E-06","0,006642978526","76,97618226",2898,3857999,2,"4,48E-05","0,02672640198"
10350,ritualistically,RB,4,"0,1,3",{(ritual)}>ist>>ic>>ly>,"83,33333333",7,11116,"74,8373102",462,382916,3,"6,27E-05","0,003707708945","70,97729516",1014,1472797,2,"2,78E-05","0,006334002781","51,05281326",2898,3857999,2,"4,48E-05","0,02672640198"
10408,regularization,NN,4,"0,1,3",{(regul)>ar>}>ize>>ion>,100,13,105035,"65,625",129,533962,2,"7,49E-06","0,0006179514908","62,47086247",430,443161,3,"0,0001489300728","0,0101961996","75,09386733",1599,6530204,3,"9,03E-06","0,009114784489"
10409,regularizations,NN,4,"0,1,3",{(regul)>ar>}>ize>>ion>,100,13,105035,"65,625",129,533962,2,"7,49E-06","0,0006179514908","62,47086247",430,443161,3,"0,0001489300728","0,0101961996","75,09386733",1599,6530204,3,"9,03E-06","0,009114784489"
11291,quizzically,RB,4,"0,1,3",{(quiz)}>ic>>al>>ly>,"66,66666667",4,3486,"54,88647581",1014,1472797,2,"2,78E-05","0,006334002781","62,65734266",1431,4704731,2,"9,14E-06","0,006642978526","35,38142906",2898,3857999,2,"4,48E-05","0,02672640198"
11503,rapturously,RB,4,"0,1,3",{(rapt)}>ure>>ious>>ly>,"83,33333333",7,1204,"91,75257732",98,541479,3,"3,69E-06","0,0003089757454","64,61038961",617,450833,4,"7,10E-05","0,004943611926","61,13220573",2898,3857999,2,"4,48E-05","0,02672640198"
11649,pugnaciously,RB,4,"0,1,3",{(pugn)>aci>>ious>}>ly>,100,5,284,100,4,63,3,"0,01587301587","0,0001544878727","87,98701299",617,450833,4,"7,10E-05","0,004943611926","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
11650,pugnaciousness,NN,4,"0,1,3",{(pugn)>aci>>ious>}>ness>,75,5,284,"66,66666667",4,63,3,"0,01587301587","0,0001544878727","82,95454545",617,450833,4,"7,10E-05","0,004943611926","73,34943639",1243,181553,4,"0,0005838515475","0,01637571451"
11764,puritanically,RB,4,"0,1,3",{(puritan)}>ic>>al>>ly>,100,4,706,"86,5745311",1014,1472797,2,"2,78E-05","0,006334002781","90,55944056",1431,4704731,2,"9,14E-06","0,006642978526","73,86952019",2898,3857999,2,"4,48E-05","0,02672640198"
11830,putrefactively,RB,4,"0,1,3",{(putr)>efac>>tive>}>ly>,100,6,331,100,2,2,4,0,0,100,3,73,4,0,0,"86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
11988,probationers,NN,4,"0,1,3",{(prob)>ate>}>ion>>er>,"86,66666667",16,230747,"87,82051282",937,2569118,3,"2,65E-05","0,01050517534","89,79974969",1599,6530204,3,"9,03E-06","0,009114784489","69,81962165",2274,4569119,2,"3,55E-05","0,02502703538"
11991,probationer,NN,4,"0,1,3",{(prob)>ate>}>ion>>er>,"86,66666667",16,230747,"87,82051282",937,2569118,3,"2,65E-05","0,01050517534","89,79974969",1599,6530204,3,"9,03E-06","0,009114784489","69,81962165",2274,4569119,2,"3,55E-05","0,02502703538"
12039,professorially,RB,4,"0,1,3",{(profess)>or>}>al>>y>,100,12,104442,"95,48611111",289,937614,2,"9,60E-06","0,001390390854","96,08391608",1431,4704731,2,"9,14E-06","0,006642978526","81,08651911",2486,3870233,1,"4,99E-05","0,02981615943"
12360,psychiatrically,RB,4,"0,1,3",{(psycho)>ater>>ic>}>ly>,"77,77777778",37,47211,"87,5",9,6457,4,0,0,"76,011846",1014,1472797,2,"2,78E-05","0,006334002781","57,16258198",2898,3857999,2,"4,48E-05","0,02672640198"
12499,preferentially,RB,4,"0,1,3",{(prefer)}>ance>>al>>ly>,"83,33333333",7,110685,"49,37888199",323,977837,4,"7,16E-06","0,001081415109","50,6993007",1431,4704731,2,"9,14E-06","0,006642978526","26,09596134",2898,3857999,2,"4,48E-05","0,02672640198"
12960,popularizations,NN,4,"0,1,3",{(popul)>ar>}>ize>>ion>,"72,22222222",19,93743,"60,9375",129,533962,2,"7,49E-06","0,0006179514908","57,57575758",430,443161,3,"0,0001489300728","0,0101961996","71,46433041",1599,6530204,3,"9,03E-06","0,009114784489"
13152,practicably,RB,4,"0,1,3",{(pract)>ic>>able>}>y>,85,21,100783,"90,91806515",1014,1472797,2,"2,78E-05","0,006334002781","88,97818599",872,1227992,4,"3,18E-05","0,006025027035","73,64185111",2486,3870233,1,"4,99E-05","0,02981615943"
13153,practicalities,NN,4,"0,1,3",{(pract)>ic>>al>}>ity>,35,21,100783,"28,33168806",1014,1472797,2,"2,78E-05","0,006334002781","38,53146853",1431,4704731,2,"9,14E-06","0,006642978526","35,40587219",580,1647588,3,"1,76E-05","0,004480148308"
13360,pleasurably,RB,4,"0,1,3",{(please)>ure>}>able>>y>,"87,5",17,627103,"84,53608247",98,541479,3,"3,69E-06","0,0003089757454","62,80137773",872,1227992,4,"3,18E-05","0,006025027035","43,94366197",2486,3870233,1,"4,99E-05","0,02981615943"
13553,polarizations,NN,4,"0,1,3",{(pole)}>ar>>ize>>ion>,"41,66666667",13,19505,"39,0625",129,533962,2,"7,49E-06","0,0006179514908","21,21212121",430,443161,3,"0,0001489300728","0,0101961996","39,5494368",1599,6530204,3,"9,03E-06","0,009114784489"
13597,pharmaceutically,RB,4,"0,1,3",{(pharma)>eutic>}>al>>ly>,"85,71428571",8,7588,100,2,2507,5,0,0,"76,08391608",1431,4704731,2,"9,14E-06","0,006642978526","49,70659303",2898,3857999,2,"4,48E-05","0,02672640198"
13610,phenomenally,RB,4,"0,1,3",{(phenomen)>a>}>al>>ly>,75,5,13623,"53,33333333",61,89636,1,"2,23E-05","0,0003089757454","53,70629371",1431,4704731,2,"9,14E-06","0,006642978526","28,51225406",2898,3857999,2,"4,48E-05","0,02672640198"
13678,phonemically,RB,4,"0,1,3",{(phon)>eme>}>ic>>ly>,90,41,207292,"57,14285714",8,580,3,"0,001724137931","0,0001544878727","86,5745311",1014,1472797,2,"2,78E-05","0,006334002781","73,86952019",2898,3857999,2,"4,48E-05","0,02672640198"
13794,picturesquely,RB,4,"0,1,3",{(picto)>ure>}>esque>>ly>,"77,77777778",10,88886,"97,93814433",98,541479,3,"3,69E-06","0,0003089757454","83,33333333",7,430,5,"0,002325581395","0,0001544878727","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
13795,picturesqueness,NN,4,"0,1,3",{(picto)>ure>}>esque>>ness>,"66,66666667",10,88886,"96,90721649",98,541479,3,"3,69E-06","0,0003089757454","66,66666667",7,430,5,"0,002325581395","0,0001544878727","73,34943639",1243,181553,4,"0,0005838515475","0,01637571451"
13989,pendulously,RB,4,"0,1,3",{(pend)>ule>>ious>}>ly>,100,34,169032,"68,75",17,9816,3,0,0,"74,83766234",617,450833,4,"7,10E-05","0,004943611926","70,93545047",2898,3857999,2,"4,48E-05","0,02672640198"
13996,penetratively,RB,4,"0,1,3",{(penetr)>ate>}>ive>>ly>,"87,5",9,6615,"96,47435897",937,2569118,3,"2,65E-05","0,01050517534","94,99136442",580,1037354,3,"1,74E-05","0,002780781709","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
14002,penitentially,RB,4,"0,1,3",{(penit)>ance>}>al>>ly>,75,9,328,"95,0310559",323,977837,4,"7,16E-06","0,001081415109","96,08391608",1431,4704731,2,"9,14E-06","0,006642978526","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
14232,personalizations,NN,4,"0,1,3",{(person)}>al>>ize>>ion>,"78,26086957",24,385320,"61,18881119",1431,4704731,2,"9,14E-06","0,006642978526","50,34965035",430,443161,3,"0,0001489300728","0,0101961996","67,45932416",1599,6530204,3,"9,03E-06","0,009114784489"
14288,pessimistically,RB,4,"0,1,3",{(pessim)>ist>}>ic>>ly>,100,4,1529,"80,26030369",462,382916,3,"6,27E-05","0,003707708945","75,61697927",1014,1472797,2,"2,78E-05","0,006334002781","56,64480497",2898,3857999,2,"4,48E-05","0,02672640198"
14412,particularization,NN,4,"0,1,3",{(particle)>ar>}>ize>>ion>,75,9,127758,"77,34375",129,533962,2,"7,49E-06","0,0006179514908","76,22377622",430,443161,3,"0,0001489300728","0,0101961996","86,29536921",1599,6530204,3,"9,03E-06","0,009114784489"
14413,particularizations,NN,4,"0,1,3",{(particle)>ar>}>ize>>ion>,75,9,127758,"77,34375",129,533962,2,"7,49E-06","0,0006179514908","76,22377622",430,443161,3,"0,0001489300728","0,0101961996","86,29536921",1599,6530204,3,"9,03E-06","0,009114784489"
14513,pathetically,RB,4,"0,1,3",{(patho)>ic>}>al>>ly>,"35,41666667",49,81153,"31,78677196",1014,1472797,2,"2,78E-05","0,006334002781","42,02797203",1431,4704731,2,"9,14E-06","0,006642978526","19,67552641",2898,3857999,2,"4,48E-05","0,02672640198"
14537,patriotically,RB,4,"0,1,3",{(pater)>ot>}>ic>>ly>,"84,61538462",27,10676,100,8,7815,2,0,0,"73,54392892",1014,1472797,2,"2,78E-05","0,006334002781","54,02140145",2898,3857999,2,"4,48E-05","0,02672640198"
15550,occupationally,RB,4,"0,1,3",{(occupy)>ion>}>al>>ly>,100,10,18897,"80,41301627",1599,6530204,3,"9,03E-06","0,009114784489","75,24475524",1431,4704731,2,"9,14E-06","0,006642978526","48,5674836",2898,3857999,2,"4,48E-05","0,02672640198"
15781,optimistically,RB,4,"0,1,3",{(optim)>isit>}>ic>>ly>,"87,5",9,15617,0,1,85,4,0,0,"55,87364265",1014,1472797,2,"2,78E-05","0,006334002781","36,24439075",2898,3857999,2,"4,48E-05","0,02672640198"
15785,optionally,RB,4,"0,1,3",{(opt)}>ion>>al>>ly>,"66,66666667",4,13553,"31,28911139",1599,6530204,3,"9,03E-06","0,009114784489","26,29370629",1431,4704731,2,"9,14E-06","0,006642978526","11,59820504",2898,3857999,2,"4,48E-05","0,02672640198"
15798,oratorically,RB,4,"0,1,3",{(orate)}>or>>al>>ly>,100,6,649,"95,48611111",289,937614,2,"9,60E-06","0,001390390854","96,08391608",1431,4704731,2,"9,14E-06","0,006642978526","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
15946,nocturnally,RB,4,"0,1,3",{(noct)>urn>}>al>>ly>,"66,66666667",4,746,100,3,739,3,0,0,"86,08391608",1431,4704731,2,"9,14E-06","0,006642978526","65,44701415",2898,3857999,2,"4,48E-05","0,02672640198"
16031,normalizations,NN,4,"0,1,3",{(norm)>al>}>ize>>ion>,"15,38461538",14,124541,"5,104895105",1431,4704731,2,"9,14E-06","0,006642978526","1,165501166",430,443161,3,"0,0001489300728","0,0101961996","6,382978723",1599,6530204,3,"9,03E-06","0,009114784489"
16115,novelettishly,RB,4,"0,1,3",{(novel)}>ette>>ish>>ly>,"83,33333333",7,20073,"84,61538462",14,6920,4,"0,0001445086705","0,0001544878727","81,2749004",252,161977,3,"0,0001111268884","0,002780781709","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
16327,nationalizations,NN,4,"0,1,3",{(nation)}>al>>ize>>ion>,"68,18181818",23,303858,"55,73426573",1431,4704731,2,"9,14E-06","0,006642978526","43,58974359",430,443161,3,"0,0001489300728","0,0101961996","62,01501877",1599,6530204,3,"9,03E-06","0,009114784489"
16366,nautically,RB,4,"0,1,3",{(naut)>ic>>al>}>ly>,90,11,4782,"83,51431392",1014,1472797,2,"2,78E-05","0,006334002781","88,32167832",1431,4704731,2,"9,14E-06","0,006642978526","68,65723162",2898,3857999,2,"4,48E-05","0,02672640198"
16536,neutralizations,NN,4,"0,1,3",{(neutr)>al>}>ize>>ion>,"62,5",9,13298,"63,21678322",1431,4704731,2,"9,14E-06","0,006642978526","52,44755245",430,443161,3,"0,0001489300728","0,0101961996","69,02377972",1599,6530204,3,"9,03E-06","0,009114784489"
16537,neutralizer,NN,4,"0,1,3",{(neutr)>al>}>ize>>er>,50,9,13298,"58,18181818",1431,4704731,2,"9,14E-06","0,006642978526","45,22144522",430,443161,3,"0,0001489300728","0,0101961996","42,45490541",2274,4569119,2,"3,55E-05","0,02502703538"
16538,neutralizers,NN,4,"0,1,3",{(neutr)>al>}>ize>>er>,50,9,13298,"58,18181818",1431,4704731,2,"9,14E-06","0,006642978526","45,22144522",430,443161,3,"0,0001489300728","0,0101961996","42,45490541",2274,4569119,2,"3,55E-05","0,02502703538"
17004,mysteriously,RB,4,"0,1,3",{(myst)>ory>}>ious>>ly>,"45,45454545",12,27412,"25,35211268",356,725186,3,"2,62E-05","0,002935269581","8,441558442",617,450833,4,"7,10E-05","0,004943611926","12,56472213",2898,3857999,2,"4,48E-05","0,02672640198"
