ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,PREF1_PFMF,PREF1_FamSize,PREF1_Freq_HAL,PREF1_length,PREF1_P,PREF1_P*,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,ROOT2_PFMF,ROOT2_FamSize,ROOT2_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*
53501,parasympathetic,JJ,4,"1,2,1",(para){<sym<(patho)>ic>},"70,96774194",32,98380,4,"81,81818182",12,14606,3,0,"60,41666667",49,81153,"70,38499506",1014,1472797,2,"2,78E-05","0,006334002781"
55041,nonequivalence,NN,4,"1,2,1",<non<{(equi)(val)>ance>},"77,46478873",72,16866,3,"0,0002964544053","0,0007724393635","97,95918367",50,127793,95,21,41544,"95,0310559",323,977837,4,"7,16E-06","0,001081415109"
55042,nonequivalent,JJ|NN,4,"1,2,1",<non<{(equi)(val)>ant>},"69,01408451",72,16866,3,"0,0002964544053","0,0007724393635","93,87755102",50,127793,90,21,41544,"92,22462203",464,1534593,3,"7,82E-06","0,001853854472"
55787,nonagricultural,JJ,4,"1,2,1",<non<{(agri)(culture)}>al>,"53,52112676",72,16866,3,"0,0002964544053","0,0007724393635",100,8,10876,"89,47368421",20,80328,"86,08391608",1431,4704731,2,"9,14E-06","0,006642978526"
55889,multiplicity,NN,3,"1,2,1",{(<muli<(plic)>ity>)},100,2,1848,4,0,0,"47,36842105",20,29024,"34,88773748",580,1647588,"1,76E-05","0,004480148308",,,,
57285,microbiology,NN,4,"1,2,1",<micro<{(bio)(log)>y>},"16,66666667",25,18576,5,0,0,"27,5862069",30,41459,"20,09345794",215,380513,"10,70422535",2486,3870233,1,"4,99E-05","0,02981615943"
60143,<inter<(medi)>ory>,NN,3,"1,2,1",{(<inter<(medi)>ory>)},"31,85840708",114,343106,5,"8,74E-06","0,0004634636181",0,1,726,"31,26760563",356,725186,"2,62E-05","0,002935269581",,,,
60501,inhomogeneous,JJ,4,"1,2,1",<im<{(homo)(gen)>ious>},"60,1217656",658,610746,2,"4,26E-05","0,00401668469",75,13,147806,"85,29411765",35,84143,"48,86363636",617,450833,4,"7,10E-05","0,004943611926"
60839,incontrovertible,JJ,4,"1,2,1",<im<{(contra)(vert)}>able>,"37,59512938",658,610746,2,"4,26E-05","0,00401668469","44,44444444",28,38273,44,26,60266,"38,69115959",872,1227992,4,"3,18E-05","0,006025027035"
61321,implicate,VB,3,"1,2,1",{(<in<(plic)>ate>)},"34,17366947",358,2402388,2,"6,66E-06","0,002471805963","42,10526316",20,29024,"30,44871795",937,2569118,"2,65E-05","0,01050517534",,,,
61322,implicated,VB|JJ,3,"1,2,1",{(<in<(plic)>ate>)},"34,17366947",358,2402388,2,"6,66E-06","0,002471805963","42,10526316",20,29024,"30,44871795",937,2569118,"2,65E-05","0,01050517534",,,,
63524,godforsaken,JJ,4,"1,2,1",{(god)}{<fore<(sake)}>en>,56,26,169472,3,"59,67741935",63,53054,4,"0,000113092321",100,6,13298,"65,51724138",204,655590,2,"1,68E-05","0,0016993666"
66383,explicate,VB,3,"1,2,1",{(<ex<(plic)>ate>)},"49,64539007",142,581016,2,"1,89E-05","0,0016993666","68,42105263",20,29024,"61,64529915",937,2569118,"2,65E-05","0,01050517534",,,,
66988,encyclopedia,NN,4,"1,2,1",{<en<(cycle)(ped)>ia>},"8,163265306",148,331620,2,"2,11E-05","0,001081415109","11,11111111",19,57570,0,17,10650,"8,888888889",46,69613,2,0,0
66989,encyclopedias,NN,4,"1,2,1",{<en<(cycle)(ped)>ia>},"8,163265306",148,331620,2,"2,11E-05","0,001081415109","11,11111111",19,57570,0,17,10650,"8,888888889",46,69613,2,0,0
66990,encyclopedic,JJ,4,"1,2,1",{<en<(cycle)(ped)>ic>},"51,70068027",148,331620,2,"2,11E-05","0,001081415109","55,55555556",19,57570,"43,75",17,10650,"43,13919052",1014,1472797,2,"2,78E-05","0,006334002781"
67819,duplicable,JJ,3,"1,2,1",{(<du<(plic)>able>)},"83,33333333",7,11303,2,"0,0001769441741","0,0003089757454","89,47368421",20,29024,"68,31228473",872,1227992,"3,18E-05","0,006025027035",,,,
68641,dissatisfaction,NN,4,"1,2,1",<dis<{(satis)(fact)>ion>},"28,13559322",296,452605,3,"6,63E-05","0,004634636181","30,76923077",14,32903,"45,83333333",25,364953,"40,61326658",1599,6530204,3,"9,03E-06","0,009114784489"
68642,dissatisfactions,NN,4,"1,2,1",<dis<{(satis)(fact)>ion>},"28,13559322",296,452605,3,"6,63E-05","0,004634636181","30,76923077",14,32903,"45,83333333",25,364953,"40,61326658",1599,6530204,3,"9,03E-06","0,009114784489"
69203,disequilibrium,NN,4,"1,2,1",<dis<{(equi)(libr)>ium>},"54,91525424",296,452605,3,"6,63E-05","0,004634636181","53,06122449",50,127793,50,3,3717,"78,94736842",39,171985,3,0,0
69847,demythologize,VB,4,"1,2,1",<de<{(myth)}(log)>ize>,"79,5620438",275,559431,2,"4,65E-05","0,00401668469",75,9,17087,"82,24299065",215,380513,"76,22377622",430,443161,3,"0,0001489300728","0,0101961996"
69848,demythologized,VB,4,"1,2,1",<de<{(myth)}(log)>ize>,"79,5620438",275,559431,2,"4,65E-05","0,00401668469",75,9,17087,"82,24299065",215,380513,"76,22377622",430,443161,3,"0,0001489300728","0,0101961996"
69849,demythologizing,VB,4,"1,2,1",<de<{(myth)}(log)>ize>,"79,5620438",275,559431,2,"4,65E-05","0,00401668469",75,9,17087,"82,24299065",215,380513,"76,22377622",430,443161,3,"0,0001489300728","0,0101961996"
71573,counterproposal,NN,4,"1,2,1",(counter){<pro<(pose)}>al>,"62,06896552",30,50249,7,"79,66101695",119,1206582,3,"2,49E-06","88,88888889",55,328330,"76,99300699",1431,4704731,2,"9,14E-06","0,006642978526"
72620,committeeman,NN,4,"1,2,1",{<co<(mitt)>ee>}{(man)},"77,50677507",370,1256048,2,"1,51E-05","0,002935269581",50,7,39916,"70,21276596",48,130049,"1,54E-05","0,0003089757454","59,04761905",211,300379,3
72621,committeemen,NN,4,"1,2,1",{<co<(mitt)>ee>}(men),"91,32791328",370,1256048,2,"1,51E-05","0,002935269581","66,66666667",7,39916,"91,4893617",48,130049,"1,54E-05","0,0003089757454","77,70700637",158,125014,3
72627,committeewoman,NN,4,"1,2,1",{<co<(mitt)>ee>}{(woman)},"92,41192412",370,1256048,2,"1,51E-05","0,002935269581","83,33333333",7,39916,"95,74468085",48,130049,"1,54E-05","0,0003089757454","67,56756757",38,74275,5
72628,committeewomen,NN,4,"1,2,1",{<co<(mitt)>ee>}(women),"95,93495935",370,1256048,2,"1,51E-05","0,002935269581",100,7,39916,100,48,130049,"1,54E-05","0,0003089757454","72,4137931",30,123504,5
76173,biosynthesized,VB,4,"1,2,1",{(bio)}{<syn<(thes)>ize>},"86,20689655",30,41459,3,"91,30434783",24,33723,3,0,100,11,29982,"82,98368298",430,443161,3,"0,0001489300728","0,0101961996"
76672,autobiographic,JJ,4,"1,2,1",<auto<{(bio)(graph)>ic>},"82,35294118",18,20321,4,0,0,"82,75862069",30,41459,"80,86956522",116,198105,"77,98617966",1014,1472797,2,"2,78E-05","0,006334002781"
76674,autobiography,NN,4,"1,2,1",<auto<{(bio)(graph)>y>},"29,41176471",18,20321,4,0,0,"24,13793103",30,41459,"17,39130435",116,198105,"9,577464789",2486,3870233,1,"4,99E-05","0,02981615943"
77183,assonance,NN,3,"1,2,1",{(<a<(son)>ance>)},"85,71428571",309,1336429,1,"1,72E-05","0,003553221072",100,2,389,"84,7826087",323,977837,"7,16E-06","0,001081415109",,,,
78730,acknowledgements,NN,4,"1,2,1",{<a<(know)(ledge)}>ment>,"13,96103896",309,1336429,1,"1,72E-05","0,003553221072","31,57894737",20,1110615,"37,5",9,109567,"16,37630662",288,1423689,4,"1,26E-05","0,002780781709"
79237,acknowledgement,NN,4,"1,2,1",{<a<(know)(ledge)}>ment>,"13,96103896",309,1336429,1,"1,72E-05","0,003553221072","31,57894737",20,1110615,"37,5",9,109567,"16,37630662",288,1423689,4,"1,26E-05","0,002780781709"
79240,acknowledgment,NN,4,"1,2,1",{<a<(know)(ledge)}>ment>,"13,96103896",309,1336429,1,"1,72E-05","0,003553221072","31,57894737",20,1110615,"37,5",9,109567,"16,37630662",288,1423689,4,"1,26E-05","0,002780781709"
79241,acknowledgments,NN,4,"1,2,1",{<a<(know)(ledge)}>ment>,"13,96103896",309,1336429,1,"1,72E-05","0,003553221072","31,57894737",20,1110615,"37,5",9,109567,"16,37630662",288,1423689,4,"1,26E-05","0,002780781709"
