ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,ROOT2_PFMF,ROOT2_FamSize,ROOT2_Freq_HAL,ROOT3_PFMF,ROOT3_FamSize,ROOT3_Freq_HAL
32877,coastguardsmen,NN,3,"0,3,0",{(coast)}{(guard)}(men),"87,5",9,27996,"90,47619048",22,44349,"87,2611465",158,125014
34703,CARBOXYMETHYL,NN,3,"0,3,0",{(carb)}{(oxy)}{(methyl)},0,1,0,0,1,0,100,3,447
36059,BIRDWHISTELL,NN,3,"0,3,0",{(bird)}{(whist)}{(ell)},"95,23809524",22,38721,100,2,27,100,3,430
36927,BASEBALLIGHT,NN|VB,3,"0,3,0",{(base)}{(bal)}{(light)},100,20,341952,100,3,1377,"95,45454545",45,176000
38586,aircraftman,NN,3,"0,3,0",{(air)}{(craft)}(man),"89,58333333",49,149120,"82,60869565",24,34488,"90,95238095",211,300379
38587,aircraftmen,NN,3,"0,3,0",{(air)}{(craft)}{(men)},"89,58333333",49,149120,"82,60869565",24,34488,"87,2611465",158,125014
38589,aircraftsmen,NN,3,"0,3,0",{(air)}{(craft)}(men),"89,58333333",49,149120,"82,60869565",24,34488,"87,2611465",158,125014
39228,wheresoever,minor,3,"0,3,0",{(where)}{(so)}{(ever)},"94,44444444",19,607399,"87,5",9,1272468,"85,71428571",22,564255
39242,whichsoever,minor,3,"0,3,0",{(which)}{(so)}{(ever)},100,3,984230,100,9,1272468,"95,23809524",22,564255
39324,whodunit,NN,3,"0,3,0",{(who)}{(dun)}{(it)},100,6,973499,100,2,1673,100,7,5468974
39341,whomsoever,minor,3,"0,3,0",{(whom)}{(so)}{(ever)},100,3,29985,"62,5",9,1272468,"71,42857143",22,564255
39356,whosoever,minor,3,"0,3,0",{(who)}{(so)}{(ever)},40,6,973499,"37,5",9,1272468,"57,14285714",22,564255
39973,whatsoever,minor|RB|NN,3,"0,3,0",{(what)}{(so)}{(ever)},75,5,1522214,"12,5",9,1272468,"28,57142857",22,564255
43368,theretofore,RB,3,"0,3,0",{(there)}{(to)}{(fore)},100,14,1512659,"88,88888889",10,13394246,"77,77777778",10,65132
45171,statesmanlike,JJ|RB,3,"0,3,0",{(state)}(man){(like)},"79,31034483",30,451541,"76,66666667",211,300379,"39,7260274",74,1232275
45621,sportsmanlike,JJ|RB,3,"0,3,0",{(sport)}(man){(like)},"43,75",17,47264,"56,66666667",211,300379,"27,39726027",74,1232275
50468,radioisotope,NN,3,"0,3,0",(radio){(iso)(tope)},50,33,99653,"36,36363636",12,1619,"66,66666667",4,1278
55043,nonetheless,RB,3,"0,3,0",{(none)}{(theo)}{(less)},100,2,95417,"7,142857143",29,30978,30,11,180284
55191,notwithstanding,minor,3,"0,3,0",{(not)}{(with)}{(stand)},"66,66666667",4,2716789,40,16,3580107,"11,53846154",27,111818
55220,nowadays,RB,3,"0,3,0",{(now)}{(a)}{(day)},100,2,604148,50,3,10617246,"44,11764706",35,778343
55590,nevertheless,RB,3,"0,3,0",{(never)}{(theo)}{(less)},50,3,310502,0,29,30978,10,11,180284
55621,newspaperman,NN,3,"0,3,0",{(new)}{(paper)}{(man)},"75,55555556",46,973761,"56,25",17,130502,"51,9047619",211,300379
55622,newspapermen,NN,3,"0,3,0",{(new)}{(paper)}{(men)},"82,22222222",46,973761,"81,25",17,130502,"64,96815287",158,125014
58345,longshoremen,NN,3,"0,3,0",{(long)}{(shore)}(men),"76,31578947",39,364660,"87,5",9,11911,"51,59235669",158,125014
60656,insofar,RB,3,"0,3,0",{(in)}{(so)}{(far)},"42,85714286",15,8150301,25,9,1272468,25,5,178405
62293,howsoever,minor,3,"0,3,0",{(how)}{(so)}{(ever)},80,6,1012869,75,9,1272468,"76,19047619",22,564255
62496,hereinafter,RB,3,"0,3,0",{(here)}{(in)}{(after)},50,13,536310,"71,42857143",15,8150301,100,5,428174
62504,heretofore,RB,3,"0,3,0",{(here)}{(to)}{(fore)},"33,33333333",13,536310,"55,55555556",10,13394246,"44,44444444",10,65132
62616,highwayman,NN,3,"0,3,0",{(high)}{(way)}(man),"60,86956522",24,339513,"72,58064516",63,727683,"57,61904762",211,300379
67426,electrocardiogram,NN,3,"0,3,0",(electro){(cardio)(gram)},"70,58823529",18,5624,25,5,815,"61,9047619",22,8957
67427,electrocardiograph,NN,3,"0,3,0",(electro){(cardio)(graph)},"82,35294118",18,5624,50,5,815,"80,86956522",116,198105
