ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,ROOT2_PFMF,ROOT2_FamSize,ROOT2_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*,SUFF2_PFMF,SUFF2_FamSize,SUFF2_Freq_HAL,SUFF2_length,SUFF2_P,SUFF2_P*
7199,southeasterly,JJ,4,"0,2,2",{(south)}{(east)}>er>>ly>,"68,42105263",20,104091,"72,22222222",19,81919,"73,11922569",2274,4569119,2,"3,55E-05","0,02502703538","68,65723162",2898,3857999,2,"4,48E-05","0,02672640198"
8005,SEROLOGICAL,JJ,4,"0,2,2",{(sero)(log)>ic>>al>},0,1,54,"71,4953271",215,380513,"63,37611056",1014,1472797,2,"2,78E-05","0,006334002781","68,95104895",1431,4704731,2,"9,14E-06","0,006642978526"
8038,sesquipedalian,JJ|NN,4,"0,2,2",{(sesqui)(podo)>al>>ian>},0,1,14,"68,75",17,13943,"81,60839161",1431,4704731,2,"9,14E-06","0,006642978526","84,39306358",174,394113,3,"2,79E-05","0,0016993666"
8931,scatological,JJ,4,"0,2,2",{(scat)(log)>ic>>al>},100,2,512,"63,55140187",215,380513,"59,13129319",1014,1472797,2,"2,78E-05","0,006334002781","65,59440559",1431,4704731,2,"9,14E-06","0,006642978526"
9044,scientologist,NN,4,"0,2,2",{(sci)>ant>(log)>ist>},"33,33333333",13,204888,"9,071274298",464,1534593,"7,82E-06","0,001853854472","4,672897196",215,380513,3,"3,253796095",462,382916,3,"6,27E-05","0,003707708945"
9045,scientologists,NN,4,"0,2,2",{(sci)>ant>(log)>ist>},"33,33333333",13,204888,"9,071274298",464,1534593,"7,82E-06","0,001853854472","4,672897196",215,380513,3,"3,253796095",462,382916,3,"6,27E-05","0,003707708945"
9430,sanctimoniously,RB,4,"0,2,2",{(sanct)(mony)}>ious>>ly>,"88,88888889",10,14938,"77,77777778",10,8995,"51,62337662",617,450833,4,"7,10E-05","0,004943611926","48,5674836",2898,3857999,2,"4,48E-05","0,02672640198"
9431,sanctimoniousness,NN,4,"0,2,2",{(sanct)(mony)}>ious>>ness>,100,10,14938,100,10,8995,"71,1038961",617,450833,4,"7,10E-05","0,004943611926","53,54267311",1243,181553,4,"0,0005838515475","0,01637571451"
10382,roadworthiness,NN,4,"0,2,2",{(road)}{(worth)}>y>>ness>,"84,21052632",20,88137,"86,20689655",30,103812,"69,49698189",2486,3870233,1,"4,99E-05","0,02981615943","67,79388084",1243,181553,4,"0,0005838515475","0,01637571451"
11354,radioactively,RB,4,"0,2,2",(radio){(act)}>ive>>ly>,"71,875",33,99653,"87,93103448",59,716577,"75,99309154",580,1037354,3,"1,74E-05","0,002780781709","54,74628926",2898,3857999,2,"4,48E-05","0,02672640198"
11367,RADIOPASTEURIZATION,NN,4,"0,2,2",{(radio)}{(pasteur)>ize>}>ion>,"90,625",33,99653,100,4,598,"95,33799534",430,443161,3,"0,0001489300728","0,0101961996","97,55944931",1599,6530204,3,"9,03E-06","0,009114784489"
11368,RADIOSTERILIZATION,NN,4,"0,2,2",(radio){(sterile)}>ize>>ion>,"90,625",33,99653,"66,66666667",7,3331,"95,33799534",430,443161,3,"0,0001489300728","0,0101961996","97,55944931",1599,6530204,3,"9,03E-06","0,009114784489"
11583,psychokinetically,RB,4,"0,2,2",{(psycho)}{(kine)>ic>}>ly>,"88,88888889",37,47211,"83,33333333",7,1885,"84,89634748",1014,1472797,2,"2,78E-05","0,006334002781","70,93545047",2898,3857999,2,"4,48E-05","0,02672640198"
11585,psychopathically,RB,4,"0,2,2",{(psycho)(patho)}>ic>>ly>,"91,66666667",37,47211,"83,33333333",49,81153,"86,5745311",1014,1472797,2,"2,78E-05","0,006334002781","73,86952019",2898,3857999,2,"4,48E-05","0,02672640198"
11590,psychosomatically,RB,4,"0,2,2",{(psycho)(soma)>ic>}>ly>,100,37,47211,100,3,626,"90,91806515",1014,1472797,2,"2,78E-05","0,006334002781","80,98032447",2898,3857999,2,"4,48E-05","0,02672640198"
11873,pyrotechnical,JJ,4,"0,2,2",(pyro){(tech)>ic>}>al>,100,6,2650,100,20,322084,"80,55281343",1014,1472797,2,"2,78E-05","0,006334002781","86,08391608",1431,4704731,2,"9,14E-06","0,006642978526"
12369,psychoanalytically,RB,4,"0,2,2",(psycho){(analytic)}>al>>ly>,"91,66666667",37,47211,100,6,5796,"90,55944056",1431,4704731,2,"9,14E-06","0,006642978526","73,86952019",2898,3857999,2,"4,48E-05","0,02672640198"
12380,praiseworthily,RB,4,"0,2,2",{(praise)}{(worth)}>y>>ly>,100,4,9311,"93,10344828",30,103812,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
12381,praiseworthiness,NN,4,"0,2,2",{(praise)}{(worth)}>y>>ness>,"66,66666667",4,9311,"86,20689655",30,103812,"69,49698189",2486,3870233,1,"4,99E-05","0,02981615943","67,79388084",1243,181553,4,"0,0005838515475","0,01637571451"
12627,prestidigitations,NN,4,"0,2,2",{(presti)(digit)>ate>}>ion>,100,2,85,100,4,53861,"82,05128205",937,2569118,3,"2,65E-05","0,01050517534","84,29286608",1599,6530204,3,"9,03E-06","0,009114784489"
12628,prestidigitation,NN,4,"0,2,2",{(presti)(digit)>ate>}>ion>,100,2,85,100,4,53861,"82,05128205",937,2569118,3,"2,65E-05","0,01050517534","84,29286608",1599,6530204,3,"9,03E-06","0,009114784489"
12632,prestidigitator,NN,4,"0,2,2",{(presti)(digit)>ate>}>or>,0,2,85,"66,66666667",4,53861,"70,72649573",937,2569118,3,"2,65E-05","0,01050517534","73,26388889",289,937614,2,"9,60E-06","0,001390390854"
12633,prestidigitators,NN,4,"0,2,2",{(presti)(digit)>ate>}>or>,0,2,85,"66,66666667",4,53861,"70,72649573",937,2569118,3,"2,65E-05","0,01050517534","73,26388889",289,937614,2,"9,60E-06","0,001390390854"
12645,preternaturally,RB,4,"0,2,2",(preter){(nature)>al>}>ly>,100,2,98,"90,47619048",22,119108,"82,16783217",1431,4704731,2,"9,14E-06","0,006642978526","57,92198826",2898,3857999,2,"4,48E-05","0,02672640198"
13374,plenipotentiaries,NN,4,"0,2,2",{(plen)(pot)>ant>>ory>},60,6,1661,"62,5",41,74693,"74,7300216",464,1534593,3,"7,82E-06","0,001853854472","70,70422535",356,725186,3,"2,62E-05","0,002935269581"
13375,plenipotentiary,NN,4,"0,2,2",{(plen)(pot)>ant>>ory>},60,6,1661,"62,5",41,74693,"74,7300216",464,1534593,3,"7,82E-06","0,001853854472","70,70422535",356,725186,3,"2,62E-05","0,002935269581"
13620,philanthropical,JJ,4,"0,2,2",{(philo)(anthropo)}>ic>>al>,"96,55172414",30,53808,100,18,5478,"94,37314906",1014,1472797,2,"2,78E-05","0,006334002781","96,08391608",1431,4704731,2,"9,14E-06","0,006642978526"
13625,philanthropically,RB,4,"0,2,2",{(philo)(anthropo)}>ic>>ly>,"89,65517241",30,53808,"94,11764706",18,5478,"90,91806515",1014,1472797,2,"2,78E-05","0,006334002781","80,98032447",2898,3857999,2,"4,48E-05","0,02672640198"
13713,photosensitization,NN,4,"0,2,2",(photo){(sense)>itize>}>ion>,"78,57142857",29,54567,"95,55555556",46,144057,80,6,644,5,0,0,"94,68085106",1599,6530204,3,"9,03E-06","0,009114784489"
13714,photosensitizations,NN,4,"0,2,2",(photo){(sense)>itize>}>ion>,"78,57142857",29,54567,"95,55555556",46,144057,80,6,644,5,0,0,"94,68085106",1599,6530204,3,"9,03E-06","0,009114784489"
13743,PHYSIOCHEMICAL,NN|JJ,4,"0,2,2",{(phys)}{(chem)>ic>>al>},"92,85714286",29,107401,"73,33333333",16,43382,"74,72852912",1014,1472797,2,"2,78E-05","0,006334002781","80,13986014",1431,4704731,2,"9,14E-06","0,006642978526"
14319,petrochemicals,NN,4,"0,2,2",(petro){(chem)>ic>>al>},0,3,904,60,16,43382,"27,64067127",1014,1472797,2,"2,78E-05","0,006334002781","37,62237762",1431,4704731,2,"9,14E-06","0,006642978526"
14322,petrochemical,NN|JJ,4,"0,2,2",(petro){(chem)>ic>>al>},0,3,904,60,16,43382,"27,64067127",1014,1472797,2,"2,78E-05","0,006334002781","37,62237762",1431,4704731,2,"9,14E-06","0,006642978526"
15067,parabolically,RB,4,"0,2,2",{(para)(bol)>ic>}>ly>,"80,64516129",32,98380,"90,90909091",12,4979,"84,89634748",1014,1472797,2,"2,78E-05","0,006334002781","70,93545047",2898,3857999,2,"4,48E-05","0,02672640198"
15083,PARALINGUISTIC,JJ,4,"0,2,2",(para){(lingu)>ist>}>ic>,"93,5483871",32,98380,"88,88888889",10,8741,"92,62472885",462,382916,3,"6,27E-05","0,003707708945","90,91806515",1014,1472797,2,"2,78E-05","0,006334002781"
15091,paralytically,NN|VB,4,"0,2,2",{(para)(lyt)>ic>}>ly>,"83,87096774",32,98380,100,3,220,"88,45014808",1014,1472797,2,"2,78E-05","0,006334002781","76,97618226",2898,3857999,2,"4,48E-05","0,02672640198"
15093,paramountcy,NN,4,"0,2,2",{(par)>a>(mount)}>acy>,95,21,34876,95,61,89636,"2,23E-05","0,0003089757454","90,90909091",12,116277,5,"94,59459459",38,54541,3,"5,50E-05","0,0004634636181"
15102,paraplegically,NN|VB,4,"0,2,2",{(para)(pleg)>ic>}>ly>,"96,77419355",32,98380,100,3,135,"94,37314906",1014,1472797,2,"2,78E-05","0,006334002781","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
15865,ornithological,JJ,4,"0,2,2",{(ornitho)(log)>ic>>al>},100,3,119,"78,97196262",215,380513,"68,90424482",1014,1472797,2,"2,78E-05","0,006334002781","75,45454545",1431,4704731,2,"9,14E-06","0,006642978526"
15884,orthographical,JJ,4,"0,2,2",{(ortho)(graph)>ic>}>al>,"71,42857143",15,8401,"72,17391304",116,198105,"70,7798618",1014,1472797,2,"2,78E-05","0,006334002781","76,99300699",1431,4704731,2,"9,14E-06","0,006642978526"
16040,northeasterly,JJ,4,"0,2,2",{(north)}{(east)}>er>>ly>,75,17,122624,"61,11111111",19,81919,"68,89573251",2274,4569119,2,"3,55E-05","0,02502703538","62,37487056",2898,3857999,2,"4,48E-05","0,02672640198"
16053,northwesterly,JJ,4,"0,2,2",{(north)}{(west)}>er>>ly>,"81,25",17,122624,"80,95238095",22,126506,"73,11922569",2274,4569119,2,"3,55E-05","0,02502703538","68,65723162",2898,3857999,2,"4,48E-05","0,02672640198"
16484,neoclassical,JJ,4,"0,2,2",(neo){(class)}>ic>>al>,25,9,1629,"42,30769231",27,184646,"43,33662389",1014,1472797,2,"2,78E-05","0,006334002781","51,53846154",1431,4704731,2,"9,14E-06","0,006642978526"
16655,nightmarishly,RB,4,"0,2,2",{(night)}{(mare)}>ish>>ly>,"93,10344828",30,162292,100,4,12539,"65,73705179",252,161977,3,"0,0001111268884","0,002780781709","73,86952019",2898,3857999,2,"4,48E-05","0,02672640198"
17429,MORPHOPHONEMIC,JJ,4,"0,2,2",(morph){(phon)>eme>}>ic>,"93,33333333",16,4842,100,41,207292,"85,71428571",8,580,3,"0,001724137931","0,0001544878727","94,37314906",1014,1472797,2,"2,78E-05","0,006334002781"
17567,MILLENARIANISM,NN,4,"0,2,2",{(mill)>en>>ian>}{(ism)},"68,42105263",20,39860,"87,19211823",204,655590,"1,68E-05","0,0016993666","89,59537572",174,394113,3,"2,79E-05","0,0016993666","16,66666667",7,610,3
17732,miscegenation,NN,4,"0,2,2",{(misce)(gen)>ate>}>ion>,0,1,181,"55,88235294",35,84143,"57,15811966",937,2569118,3,"2,65E-05","0,01050517534","59,01126408",1599,6530204,3,"9,03E-06","0,009114784489"
17976,melodramatically,RB,4,"0,2,2",{(melo)(drama)}>ic>>ly>,100,3,598,100,9,16813,"74,13622902",1014,1472797,2,"2,78E-05","0,006334002781","54,74628926",2898,3857999,2,"4,48E-05","0,02672640198"
18134,metallurgical,JJ,4,"0,2,2",{(metal)(urge)>ic>}>al>,"33,33333333",10,33763,"83,33333333",7,21542,"35,73543929",1014,1472797,2,"2,78E-05","0,006334002781","46,22377622",1431,4704731,2,"9,14E-06","0,006642978526"
18144,METAPHYSICALS,NN,4,"0,2,2",{(meta)}{(phys)>ic>>al>},0,1,2,100,29,107401,"88,45014808",1014,1472797,2,"2,78E-05","0,006334002781","91,53846154",1431,4704731,2,"9,14E-06","0,006642978526"
18464,mastectomies,NN,4,"0,2,2",{(mast)>ec>(tom)>y>},"33,33333333",7,2282,50,3,370,0,0,50,15,67254,3,"28,77263581",2486,3870233,1,"4,99E-05","0,02981615943"
18771,magnanimously,RB,4,"0,2,2",{(magn)(anim)>ious>}>ly>,75,9,7228,75,13,31452,"52,92207792",617,450833,4,"7,10E-05","0,004943611926","49,70659303",2898,3857999,2,"4,48E-05","0,02672640198"
18891,malevolently,RB,4,"0,2,2",{(male)(vol)>ant>}>ly>,"83,33333333",7,68630,"81,81818182",12,22012,"74,29805616",464,1534593,3,"7,82E-06","0,001853854472","48,2568174",2898,3857999,2,"4,48E-05","0,02672640198"
19538,lexicographer,NN,4,"0,2,2",{(lexic)>ic>(graph)>er>},"71,42857143",8,4458,"64,85686081",1014,1472797,"2,78E-05","0,006334002781","68,69565217",116,198105,5,"52,92564892",2274,4569119,2,"3,55E-05","0,02502703538"
19539,lexicographers,NN,4,"0,2,2",{(lexic)>ic>(graph)>er>},"71,42857143",8,4458,"64,85686081",1014,1472797,"2,78E-05","0,006334002781","68,69565217",116,198105,5,"52,92564892",2274,4569119,2,"3,55E-05","0,02502703538"
19540,lexicography,NN,4,"0,2,2",{(lexic)>ic>(graph)>y>},100,8,4458,"68,31194472",1014,1472797,"2,78E-05","0,006334002781","71,30434783",116,198105,5,"43,94366197",2486,3870233,1,"4,99E-05","0,02981615943"
20360,knowledgeably,RB,4,"0,2,2",{(know)(ledge)}>able>>y>,"84,21052632",20,1110615,100,9,109567,"62,80137773",872,1227992,4,"3,18E-05","0,006025027035","43,94366197",2486,3870233,1,"4,99E-05","0,02981615943"
22788,HYDROCHEMISTRY,NN,4,"0,2,2",(hydro){(chem)>ist>}>ory>,"92,59259259",28,8772,"86,66666667",16,43382,"95,66160521",462,382916,3,"6,27E-05","0,003707708945","95,77464789",356,725186,3,"2,62E-05","0,002935269581"
22856,hysterectomies,NN,4,"0,2,2",{(hyster)>ec>(tom)>y>},100,5,3999,0,3,370,0,0,"35,71428571",15,67254,3,"25,71428571",2486,3870233,1,"4,99E-05","0,02981615943"
23175,homoeopathically,RB,4,"0,2,2",{(homeo)(patho)}>ic>>ly>,100,4,32,"87,5",49,81153,"94,37314906",1014,1472797,2,"2,78E-05","0,006334002781","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
23180,homogeneously,RB,4,"0,2,2",{(homo)(gen)>ious>}>ly>,"91,66666667",13,147806,"91,17647059",35,84143,"64,61038961",617,450833,4,"7,10E-05","0,004943611926","61,13220573",2898,3857999,2,"4,48E-05","0,02672640198"
23302,horticulturalists,NN,4,"0,2,2",{(horti)(culture)}>al>>ist>,100,4,675,"63,15789474",20,80328,"77,62237762",1431,4704731,2,"9,14E-06","0,006642978526","75,48806941",462,382916,3,"6,27E-05","0,003707708945"
23689,heterosexually,RB,4,"0,2,2",(hetero){(sex)}>al>>y>,"44,44444444",10,8056,"78,57142857",29,154904,"67,13286713",1431,4704731,2,"9,14E-06","0,006642978526","37,22334004",2486,3870233,1,"4,99E-05","0,02981615943"
23693,heterogeneously,RB,4,"0,2,2",{(hetero)(gen)>ious>}>ly>,"88,88888889",10,8056,"97,05882353",35,84143,"87,98701299",617,450833,4,"7,10E-05","0,004943611926","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
23740,hierarchically,RB,4,"0,2,2",{(hiero)(arch)>ic>}>ly>,"66,66666667",7,18900,"57,5",41,38937,"53,60315893",1014,1472797,2,"2,78E-05","0,006334002781","34,38039351",2898,3857999,2,"4,48E-05","0,02672640198"
24207,headachier,JJ,4,"0,2,2",{(head)}{(ache)}>y>>er>,"91,75257732",98,230581,"88,88888889",10,8479,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","87,1975363",2274,4569119,2,"3,55E-05","0,02502703538"
24532,gynaecological,JJ,4,"0,2,2",{(gynaec)(log)>ic>>al>},100,3,461,"74,29906542",215,380513,"65,64659427",1014,1472797,2,"2,78E-05","0,006334002781","72,02797203",1431,4704731,2,"9,14E-06","0,006642978526"
25106,genealogical,JJ,4,"0,2,2",{(gen)(log)>ic>>al>},"23,52941176",35,84143,"14,95327103",215,380513,"13,4254689",1014,1472797,2,"2,78E-05","0,006334002781","22,93706294",1431,4704731,2,"9,14E-06","0,006642978526"
25147,geophysical,JJ,4,"0,2,2",(geo){(phys)>ic>>al>},"52,63157895",20,31762,"35,71428571",29,107401,"17,76900296",1014,1472797,2,"2,78E-05","0,006334002781","28,39160839",1431,4704731,2,"9,14E-06","0,006642978526"
26492,foolhardiness,NN,4,"0,2,2",{(fool)}{(hard)}>y>>ness>,80,11,30266,"89,65517241",30,315496,"61,85110664",2486,3870233,1,"4,99E-05","0,02981615943","55,87761675",1243,181553,4,"0,0005838515475","0,01637571451"
27417,ethnological,JJ,4,"0,2,2",{(ethn)(log)>ic>}>al>,70,11,11895,"77,57009346",215,380513,"67,71964462",1014,1472797,2,"2,78E-05","0,006334002781","74,33566434",1431,4704731,2,"9,14E-06","0,006642978526"
27925,entomological,JJ,4,"0,2,2",{(entomo)(log)>ic>>al>},100,3,569,"65,88785047",215,380513,"59,92102665",1014,1472797,2,"2,78E-05","0,006334002781","66,36363636",1431,4704731,2,"9,14E-06","0,006642978526"
28046,equivalently,RB,4,"0,2,2",{(equi)(val)>ant>}>ly>,"42,85714286",50,127793,40,21,41544,"51,83585313",464,1534593,3,"7,82E-06","0,001853854472","24,64618571",2898,3857999,2,"4,48E-05","0,02672640198"
28050,equivocations,NN,4,"0,2,2",{(equi)(voc)>ate>}>ion>,"44,89795918",50,127793,"45,45454545",23,38814,"57,05128205",937,2569118,3,"2,65E-05","0,01050517534","58,76095119",1599,6530204,3,"9,03E-06","0,009114784489"
28134,eschatological,JJ,4,"0,2,2",{(eschato)(log)>ic>>al>},0,2,87,"73,36448598",215,380513,"65,15301086",1014,1472797,2,"2,78E-05","0,006334002781","71,53846154",1431,4704731,2,"9,14E-06","0,006642978526"
28926,egocentrically,RB,4,"0,2,2",{(ego)(center)>ic>}>ly>,100,11,8689,100,29,173066,"90,91806515",1014,1472797,2,"2,78E-05","0,006334002781","80,98032447",2898,3857999,2,"4,48E-05","0,02672640198"
30848,democratically,RB,4,"0,2,2",{(demo)(crat)}>ic>>ly>,50,11,83162,25,21,35528,"26,15992103",1014,1472797,2,"2,78E-05","0,006334002781","16,91404902",2898,3857999,2,"4,48E-05","0,02672640198"
30955,Czechoslovakian,NN|JJ,4,"0,2,2",{(czech)(slovak)>ia>}>n>,100,4,4833,100,4,2203,"75,55555556",46,69613,2,0,0,"73,82550336",150,714837,1,"1,12E-05","0,001235902982"
30956,Czechoslovakians,NN,4,"0,2,2",{(czech)(slovak)>ia>}>n>,100,4,4833,100,4,2203,"75,55555556",46,69613,2,0,0,"73,82550336",150,714837,1,"1,12E-05","0,001235902982"
31728,cosmopolitans,NN,4,"0,2,2",{(cosmo)(pol)>ite>}>ian>,"30,76923077",14,10553,"64,70588235",18,25765,"45,45454545",45,228495,3,"8,75E-06","0,0003089757454","38,15028902",174,394113,3,"2,79E-05","0,0016993666"
32173,contrapuntally,RB,4,"0,2,2",{(contra)(punt)>al>}>ly>,"85,18518519",28,38273,100,4,1197,"90,55944056",1431,4704731,2,"9,14E-06","0,006642978526","73,86952019",2898,3857999,2,"4,48E-05","0,02672640198"
32194,controversialism,NN,4,"0,2,2",{(contra)(versy)}>al>>ism>,100,28,38273,100,5,9790,"96,08391608",1431,4704731,2,"9,14E-06","0,006642978526","95,55555556",271,218200,3,"5,50E-05","0,001853854472"
32198,controversialist,NN|JJ,4,"0,2,2",{(contra)(versy)}>al>>ist>,"88,88888889",28,38273,75,5,9790,"91,53846154",1431,4704731,2,"9,14E-06","0,006642978526","91,10629067",462,382916,3,"6,27E-05","0,003707708945"
32199,controversially,RB,4,"0,2,2",{(contra)(versy)}>al>>ly>,"66,66666667",28,38273,50,5,9790,"78,67132867",1431,4704731,2,"9,14E-06","0,006642978526","52,84777356",2898,3857999,2,"4,48E-05","0,02672640198"
34915,bureaucratically,RB,4,"0,2,2",{(bureau)(crat)}>ic>>ly>,100,6,14590,90,21,35528,"76,011846",1014,1472797,2,"2,78E-05","0,006334002781","57,16258198",2898,3857999,2,"4,48E-05","0,02672640198"
36180,blameworthiness,NN,4,"0,2,2",{(blame)}{(worth)}>y>>ness>,60,6,23468,"79,31034483",30,103812,"63,54124748",2486,3870233,1,"4,99E-05","0,02981615943","59,09822866",1243,181553,4,"0,0005838515475","0,01637571451"
36304,bloodthirstily,RB,4,"0,2,2",{(blood)}{(thirst)}>y>>ly>,"90,90909091",23,65907,100,8,2329,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
36305,bloodthirstiness,NN,4,"0,2,2",{(blood)}{(thirst)}>y>>ness>,"81,81818182",23,65907,"57,14285714",8,2329,"54,32595573",2486,3870233,1,"4,99E-05","0,02981615943","42,75362319",1243,181553,4,"0,0005838515475","0,01637571451"
36527,benevolently,RB,4,"0,2,2",{(bene)(vol)>ant>}>ly>,75,9,3226,"72,72727273",12,22012,"66,95464363",464,1534593,3,"7,82E-06","0,001853854472","39,10942354",2898,3857999,2,"4,48E-05","0,02672640198"
36876,barometrically,RB,4,"0,2,2",{(baro)(meter)>ic>}>ly>,100,3,537,"96,49122807",58,68090,"94,37314906",1014,1472797,2,"2,78E-05","0,006334002781","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
37237,AUTONAVIGATOR,NN,4,"0,2,2",{(auto)}{(navy)>ate>}>or>,50,9,18733,100,9,8378,"91,02564103",937,2569118,3,"2,65E-05","0,01050517534","89,58333333",289,937614,2,"9,60E-06","0,001390390854"
37838,astrophysicists,NN,4,"0,2,2",(astro){(phys)>ic>>ist>},"55,55555556",19,27795,"42,85714286",29,107401,"37,70977295",1014,1472797,2,"2,78E-05","0,006334002781","37,09327549",462,382916,3,"6,27E-05","0,003707708945"
37839,astrological,JJ,4,"0,2,2",{(astro)(log)>ic>>al>},"44,44444444",19,27795,"19,1588785",215,380513,"15,89338598",1014,1472797,2,"2,78E-05","0,006334002781","26,22377622",1431,4704731,2,"9,14E-06","0,006642978526"
