ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*,SUFF2_PFMF,SUFF2_FamSize,SUFF2_Freq_HAL,SUFF2_length,SUFF2_P,SUFF2_P*
413,zippiest,JJ,3,"0,1,2",{(zip)}>y>>est>,100,6,25466,"73,64185111",2486,3870233,1,"4,99E-05","0,02981615943","59,46704067",714,287086,3,"0,0002612457591","0,01158659045"
452,WOLFISHLY,RB,3,"0,1,2",{(wolf)}>ish>>ly>,100,4,32798,"62,5498008",252,161977,3,"0,0001111268884","0,002780781709","70,93545047",2898,3857999,2,"4,48E-05","0,02672640198"
462,womanizers,NN,3,"0,1,2",{(woman)}>ize>>er>,"21,62162162",38,74275,"49,41724942",430,443161,3,"0,0001489300728","0,0101961996","44,87461505",2274,4569119,2,"3,55E-05","0,02502703538"
466,womanliness,NN,3,"0,1,2",{(woman)}>ly>>ness>,"75,67567568",38,74275,"80,98032447",2898,3857999,2,"4,48E-05","0,02672640198","73,34943639",1243,181553,4,"0,0005838515475","0,01637571451"
484,woodenly,RB,3,"0,1,2",{(wood)}>en>>ly>,"78,84615385",53,58074,"88,66995074",204,655590,2,"1,68E-05","0,0016993666","65,44701415",2898,3857999,2,"4,48E-05","0,02672640198"
485,woodenness,NN,3,"0,1,2",{(wood)}>en>>ness>,"84,61538462",53,58074,"91,13300493",204,655590,2,"1,68E-05","0,0016993666","59,09822866",1243,181553,4,"0,0005838515475","0,01637571451"
486,woodier,JJ,3,"0,1,2",{(wood)}>y>>er>,"90,38461538",53,58074,"73,64185111",2486,3870233,1,"4,99E-05","0,02981615943","81,91816982",2274,4569119,2,"3,55E-05","0,02502703538"
487,woodiest,JJ,3,"0,1,2",{(wood)}>y>>est>,"96,15384615",53,58074,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","69,98597475",714,287086,3,"0,0002612457591","0,01158659045"
514,woollier,JJ,3,"0,1,2",{(wool)}>y>>er>,75,9,2761,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","87,1975363",2274,4569119,2,"3,55E-05","0,02502703538"
516,woolliest,JJ,3,"0,1,2",{(wool)}>y>>est>,75,9,2761,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","69,98597475",714,287086,3,"0,0002612457591","0,01158659045"
517,woolliness,NN,3,"0,1,2",{(wool)}>y>>ness>,"37,5",9,2761,"55,01006036",2486,3870233,1,"4,99E-05","0,02981615943","44,52495974",1243,181553,4,"0,0005838515475","0,01637571451"
531,wordier,JJ,3,"0,1,2",{(word)}>y>>er>,90,21,268282,"59,31589537",2486,3870233,1,"4,99E-05","0,02981615943","70,91948966",2274,4569119,2,"3,55E-05","0,02502703538"
532,wordiest,JJ,3,"0,1,2",{(word)}>y>>est>,100,21,268282,"73,64185111",2486,3870233,1,"4,99E-05","0,02981615943","59,46704067",714,287086,3,"0,0002612457591","0,01158659045"
533,wordily,RB,3,"0,1,2",{(word)}>y>>ly>,80,21,268282,"55,01006036",2486,3870233,1,"4,99E-05","0,02981615943","60,09665171",2898,3857999,2,"4,48E-05","0,02672640198"
534,wordiness,NN,3,"0,1,2",{(word)}>y>>ness>,70,21,268282,"49,1750503",2486,3870233,1,"4,99E-05","0,02981615943","35,02415459",1243,181553,4,"0,0005838515475","0,01637571451"
535,wordlessly,RB,3,"0,1,2",{(word)}>less>>ly>,45,21,268282,"36,51226158",368,158354,4,"0,0001199843389","0,002935269581","34,93268899",2898,3857999,2,"4,48E-05","0,02672640198"
537,workableness,NN,3,"0,1,2",{(work)}>able>>ness>,"95,29411765",86,1051110,"93,22617681",872,1227992,4,"3,18E-05","0,006025027035","81,80354267",1243,181553,4,"0,0005838515475","0,01637571451"
555,worldlier,JJ,3,"0,1,2",{(world)}>ly>>er>,"88,88888889",10,345235,"80,98032447",2898,3857999,2,"4,48E-05","0,02672640198","81,91816982",2274,4569119,2,"3,55E-05","0,02502703538"
556,worldliest,JJ,3,"0,1,2",{(world)}>ly>>est>,100,10,345235,"86,8829824",2898,3857999,2,"4,48E-05","0,02672640198","69,98597475",714,287086,3,"0,0002612457591","0,01158659045"
557,worldliness,NN,3,"0,1,2",{(world)}>ly>>ness>,"77,77777778",10,345235,"48,2568174",2898,3857999,2,"4,48E-05","0,02672640198","28,18035427",1243,181553,4,"0,0005838515475","0,01637571451"
558,wormiest,JJ,3,"0,1,2",{(worm)}>y>>est>,"78,57142857",15,13222,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","69,98597475",714,287086,3,"0,0002612457591","0,01158659045"
568,worthier,JJ,3,"0,1,2",{(worth)}>y>>er>,"58,62068966",30,103812,"43,54124748",2486,3870233,1,"4,99E-05","0,02981615943","56,62120546",2274,4569119,2,"3,55E-05","0,02502703538"
570,worthily,RB,3,"0,1,2",{(worth)}>y>>ly>,"65,51724138",30,103812,"47,08249497",2486,3870233,1,"4,99E-05","0,02981615943","51,846738",2898,3857999,2,"4,48E-05","0,02672640198"
571,worthiness,NN,3,"0,1,2",{(worth)}>y>>ness>,"27,5862069",30,103812,"19,55734406",2486,3870233,1,"4,99E-05","0,02981615943","7,004830918",1243,181553,4,"0,0005838515475","0,01637571451"
572,worthlessly,RB,3,"0,1,2",{(worth)}>less>>ly>,"93,10344828",30,103812,"90,73569482",368,158354,4,"0,0001199843389","0,002935269581","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
589,wrathfully,RB,3,"0,1,2",{(wrath)}>ful>>ly>,100,3,5686,"92,98245614",343,429561,3,"5,82E-05","0,003862196818","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
617,wrinklier,JJ,3,"0,1,2",{(wrinkle)}>y>>er>,75,5,1695,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","87,1975363",2274,4569119,2,"3,55E-05","0,02502703538"
618,wrinkliest,JJ,3,"0,1,2",{(wrinkle)}>y>>est>,75,5,1695,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","69,98597475",714,287086,3,"0,0002612457591","0,01158659045"
630,wrongfully,RB,3,"0,1,2",{(wrong)}>ful>>ly>,50,9,143655,"33,04093567",343,429561,3,"5,82E-05","0,003862196818","26,75181222",2898,3857999,2,"4,48E-05","0,02672640198"
721,yeastier,JJ,3,"0,1,2",{(yeast)}>y>>er>,100,3,7323,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","87,1975363",2274,4569119,2,"3,55E-05","0,02502703538"
786,youthfully,RB,3,"0,1,2",{(youth)}>ful>>ly>,100,4,15818,"73,39181287",343,429561,3,"5,82E-05","0,003862196818","62,37487056",2898,3857999,2,"4,48E-05","0,02672640198"
787,youthfulness,NN,3,"0,1,2",{(youth)}>ful>>ness>,"66,66666667",4,15818,"62,28070175",343,429561,3,"5,82E-05","0,003862196818","31,32045089",1243,181553,4,"0,0005838515475","0,01637571451"
829,zealousness,NN,3,"0,1,2",{(zeal)>ious>}>ness>,100,6,3419,"54,22077922",617,450833,4,"7,10E-05","0,004943611926","30,5958132",1243,181553,4,"0,0005838515475","0,01637571451"
859,westernized,VB|JJ,3,"0,1,2",{(west)}>ern>>ize>,"52,38095238",22,126506,60,21,123023,3,"2,44E-05","0,0004634636181","42,42424242",430,443161,3,"0,0001489300728","0,0101961996"
860,westernizes,VB,3,"0,1,2",{(west)}>ern>>ize>,"52,38095238",22,126506,60,21,123023,3,"2,44E-05","0,0004634636181","42,42424242",430,443161,3,"0,0001489300728","0,0101961996"
861,westernizing,VB|NN|JJ,3,"0,1,2",{(west)}>ern>>ize>,"52,38095238",22,126506,60,21,123023,3,"2,44E-05","0,0004634636181","42,42424242",430,443161,3,"0,0001489300728","0,0101961996"
915,wheezier,JJ,3,"0,1,2",{(wheeze)}>y>>er>,60,6,442,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","87,1975363",2274,4569119,2,"3,55E-05","0,02502703538"
916,wheeziest,JJ,3,"0,1,2",{(wheeze)}>y>>est>,60,6,442,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","69,98597475",714,287086,3,"0,0002612457591","0,01158659045"
917,wheezily,RB,3,"0,1,2",{(wheeze)}>y>>ly>,60,6,442,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
918,wheeziness,NN,3,"0,1,2",{(wheeze)}>y>>ness>,40,6,442,"73,64185111",2486,3870233,1,"4,99E-05","0,02981615943","73,34943639",1243,181553,4,"0,0005838515475","0,01637571451"
934,whiffier,JJ,3,"0,1,2",{(whiff)}>y>>er>,"33,33333333",4,435,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","87,1975363",2274,4569119,2,"3,55E-05","0,02502703538"
935,whiffiest,JJ,3,"0,1,2",{(whiff)}>y>>est>,"33,33333333",4,435,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","69,98597475",714,287086,3,"0,0002612457591","0,01158659045"
954,whippier,JJ,3,"0,1,2",{(whip)}>y>>er>,100,7,10471,"69,49698189",2486,3870233,1,"4,99E-05","0,02981615943","79,19049714",2274,4569119,2,"3,55E-05","0,02502703538"
1011,wholesomeness,NN,3,"0,1,2",{(whole)}>some>>ness>,100,10,131881,"52,63157895",39,20091,4,"4,98E-05","0,0001544878727","30,27375201",1243,181553,4,"0,0005838515475","0,01637571451"
1033,WIDENER,NN,3,"0,1,2",{(wide)}>en>>er>,75,13,118804,"54,67980296",204,655590,2,"1,68E-05","0,0016993666","37,13154421",2274,4569119,2,"3,55E-05","0,02502703538"
1046,wifelier,JJ,3,"0,1,2",{(wife)}>ly>>er>,80,11,43730,"86,8829824",2898,3857999,2,"4,48E-05","0,02672640198","87,1975363",2274,4569119,2,"3,55E-05","0,02502703538"
1073,wilfully,RB,3,"0,1,2",{(wile)}>ful>>ly>,"28,57142857",8,1344,"38,88888889",343,429561,3,"5,82E-05","0,003862196818","31,30824991",2898,3857999,2,"4,48E-05","0,02672640198"
1074,wilfulness,NN,3,"0,1,2",{(wile)}>ful>>ness>,100,8,1344,"87,13450292",343,429561,3,"5,82E-05","0,003862196818","73,34943639",1243,181553,4,"0,0005838515475","0,01637571451"
1076,wilier,JJ,3,"0,1,2",{(wile)}>y>>er>,"57,14285714",8,1344,"56,01609658",2486,3870233,1,"4,99E-05","0,02981615943","68,0158381",2274,4569119,2,"3,55E-05","0,02502703538"
1077,wiliest,JJ,3,"0,1,2",{(wile)}>y>>est>,"71,42857143",8,1344,"66,0362173",2486,3870233,1,"4,99E-05","0,02981615943","48,10659187",714,287086,3,"0,0002612457591","0,01158659045"
1120,windier,JJ,3,"0,1,2",{(wind)}>y>>er>,"82,35294118",35,40204,"54,32595573",2486,3870233,1,"4,99E-05","0,02981615943","66,65200176",2274,4569119,2,"3,55E-05","0,02502703538"
1121,windiest,JJ,3,"0,1,2",{(wind)}>y>>est>,"88,23529412",35,40204,"57,90744467",2486,3870233,1,"4,99E-05","0,02981615943","38,84992987",714,287086,3,"0,0002612457591","0,01158659045"
1122,windily,RB,3,"0,1,2",{(wind)}>y>>ly>,100,35,40204,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
1123,windiness,NN,3,"0,1,2",{(wind)}>y>>ness>,"97,05882353",35,40204,"73,64185111",2486,3870233,1,"4,99E-05","0,02981615943","73,34943639",1243,181553,4,"0,0005838515475","0,01637571451"
1162,winsomely,RB,3,"0,1,2",{(win)}>some>>ly>,100,12,120882,"78,94736842",39,20091,4,"4,98E-05","0,0001544878727","76,97618226",2898,3857999,2,"4,48E-05","0,02672640198"
1165,winterier,JJ,3,"0,1,2",{(winter)}>y>>er>,"66,66666667",7,25608,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","87,1975363",2274,4569119,2,"3,55E-05","0,02502703538"
1168,wintrier,JJ,3,"0,1,2",{(winter)>y>}>er>,"66,66666667",7,25608,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","87,1975363",2274,4569119,2,"3,55E-05","0,02502703538"
1169,wintriest,JJ,3,"0,1,2",{(winter)>y>}>est>,"66,66666667",7,25608,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","69,98597475",714,287086,3,"0,0002612457591","0,01158659045"
1177,wirier,JJ,3,"0,1,2",{(wire)}>y>>er>,"83,33333333",13,37645,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","87,1975363",2274,4569119,2,"3,55E-05","0,02502703538"
1178,wiriest,JJ,3,"0,1,2",{(wire)}>y>>est>,"83,33333333",13,37645,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","69,98597475",714,287086,3,"0,0002612457591","0,01158659045"
1179,wiriness,NN,3,"0,1,2",{(wire)}>y>>ness>,75,13,37645,"73,64185111",2486,3870233,1,"4,99E-05","0,02981615943","73,34943639",1243,181553,4,"0,0005838515475","0,01637571451"
1188,wishfully,RB,3,"0,1,2",{(wish)}>ful>>ly>,100,4,99839,"62,28070175",343,429561,3,"5,82E-05","0,003862196818","51,05281326",2898,3857999,2,"4,48E-05","0,02672640198"
1191,wispier,JJ,3,"0,1,2",{(wisp)}>y>>er>,"66,66666667",4,1827,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","87,1975363",2274,4569119,2,"3,55E-05","0,02502703538"
1192,wispiest,JJ,3,"0,1,2",{(wisp)}>y>>est>,"66,66666667",4,1827,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","69,98597475",714,287086,3,"0,0002612457591","0,01158659045"
1197,wistfulness,NN,3,"0,1,2",{(wist)}>ful>>ness>,100,3,345,"78,07017544",343,429561,3,"5,82E-05","0,003862196818","55,87761675",1243,181553,4,"0,0005838515475","0,01637571451"
1212,witlessly,RB,3,"0,1,2",{(wit)}>less>>ly>,"94,11764706",18,10063,"72,20708447",368,158354,4,"0,0001199843389","0,002935269581","65,44701415",2898,3857999,2,"4,48E-05","0,02672640198"
1213,witlessness,NN,3,"0,1,2",{(wit)}>less>>ness>,100,18,10063,"75,47683924",368,158354,4,"0,0001199843389","0,002935269581","55,87761675",1243,181553,4,"0,0005838515475","0,01637571451"
1219,wittier,JJ,3,"0,1,2",{(wit)}>y>>er>,"76,47058824",18,10063,"44,6277666",2486,3870233,1,"4,99E-05","0,02981615943","57,94104707",2274,4569119,2,"3,55E-05","0,02502703538"
1220,wittiest,JJ,3,"0,1,2",{(wit)}>y>>est>,"64,70588235",18,10063,"38,95372233",2486,3870233,1,"4,99E-05","0,02981615943","21,59887798",714,287086,3,"0,0002612457591","0,01158659045"
1221,wittily,RB,3,"0,1,2",{(wit)}>y>>ly>,"88,23529412",18,10063,"50,30181087",2486,3870233,1,"4,99E-05","0,02981615943","55,36762168",2898,3857999,2,"4,48E-05","0,02672640198"
1222,wittiness,NN,3,"0,1,2",{(wit)}>y>>ness>,"82,35294118",18,10063,"49,53722334",2486,3870233,1,"4,99E-05","0,02981615943","35,99033816",1243,181553,4,"0,0005838515475","0,01637571451"
1233,wobbliest,JJ,3,"0,1,2",{(wobble)}>y>>est>,75,5,1280,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","69,98597475",714,287086,3,"0,0002612457591","0,01158659045"
1236,woefully,RB,3,"0,1,2",{(woe)}>ful>>ly>,"33,33333333",4,2198,"19,88304094",343,429561,3,"5,82E-05","0,003862196818","17,39730756",2898,3857999,2,"4,48E-05","0,02672640198"
1275,vocalized,VB|JJ,3,"0,1,2",{(voc)>al>}>ize>,50,23,38814,"54,82517483",1431,4704731,2,"9,14E-06","0,006642978526","41,95804196",430,443161,3,"0,0001489300728","0,0101961996"
1276,vocalizes,VB,3,"0,1,2",{(voc)>al>}>ize>,50,23,38814,"54,82517483",1431,4704731,2,"9,14E-06","0,006642978526","41,95804196",430,443161,3,"0,0001489300728","0,0101961996"
1277,vocalizing,VB|NN|JJ,3,"0,1,2",{(voc)>al>}>ize>,50,23,38814,"54,82517483",1431,4704731,2,"9,14E-06","0,006642978526","41,95804196",430,443161,3,"0,0001489300728","0,0101961996"
1284,vociferated,VB|JJ,3,"0,1,2",{(voc)>ifer>>ate>},"95,45454545",23,38814,100,5,352,4,"0,005681818182","0,0003089757454","93,37606838",937,2569118,3,"2,65E-05","0,01050517534"
1285,vociferates,VB,3,"0,1,2",{(voc)>ifer>>ate>},"95,45454545",23,38814,100,5,352,4,"0,005681818182","0,0003089757454","93,37606838",937,2569118,3,"2,65E-05","0,01050517534"
1286,vociferating,VB|NN|JJ,3,"0,1,2",{(voc)>ifer>>ate>},"95,45454545",23,38814,100,5,352,4,"0,005681818182","0,0003089757454","93,37606838",937,2569118,3,"2,65E-05","0,01050517534"
1302,volitional,JJ,3,"0,1,2",{(vol)>ion>}>al>,"54,54545455",12,22012,"63,51689612",1599,6530204,3,"9,03E-06","0,009114784489","57,41258741",1431,4704731,2,"9,14E-06","0,006642978526"
1318,voluminously,RB,3,"0,1,2",{(volume)}>ious>>ly>,75,5,48683,"74,83766234",617,450833,4,"7,10E-05","0,004943611926","70,93545047",2898,3857999,2,"4,48E-05","0,02672640198"
1365,vulcanization,NN,3,"0,1,2",{(vulcan)}>ize>>ion>,100,3,3978,"95,33799534",430,443161,3,"0,0001489300728","0,0101961996","97,55944931",1599,6530204,3,"9,03E-06","0,009114784489"
1366,vulcanizations,NN,3,"0,1,2",{(vulcan)}>ize>>ion>,100,3,3978,"95,33799534",430,443161,3,"0,0001489300728","0,0101961996","97,55944931",1599,6530204,3,"9,03E-06","0,009114784489"
1378,warier,JJ,3,"0,1,2",{(ware)>y>}>er>,80,21,419541,"61,85110664",2486,3870233,1,"4,99E-05","0,02981615943","73,11922569",2274,4569119,2,"3,55E-05","0,02502703538"
1379,wartier,JJ,3,"0,1,2",{(wart)}>y>>er>,100,4,945,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","87,1975363",2274,4569119,2,"3,55E-05","0,02502703538"
1393,washier,JJ,3,"0,1,2",{(wash)}>y>>er>,"78,26086957",24,24337,"73,64185111",2486,3870233,1,"4,99E-05","0,02981615943","81,91816982",2274,4569119,2,"3,55E-05","0,02502703538"
1419,wiliness,NN,3,"0,1,2",{(wile)}>y>>ness>,"85,71428571",8,1344,"69,49698189",2486,3870233,1,"4,99E-05","0,02981615943","67,79388084",1243,181553,4,"0,0005838515475","0,01637571451"
1422,wobblier,JJ,3,"0,1,2",{(wobble)}>y>>er>,75,5,1280,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","87,1975363",2274,4569119,2,"3,55E-05","0,02502703538"
1428,wormier,JJ,3,"0,1,2",{(worm)}>y>>er>,"78,57142857",15,13222,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","87,1975363",2274,4569119,2,"3,55E-05","0,02502703538"
1440,waspishly,RB,3,"0,1,2",{(wasp)}>ish>>ly>,"66,66666667",4,1122,"69,72111554",252,161977,3,"0,0001111268884","0,002780781709","76,97618226",2898,3857999,2,"4,48E-05","0,02672640198"
1441,waspishness,NN,3,"0,1,2",{(wasp)}>ish>>ness>,100,4,1122,"74,50199203",252,161977,3,"0,0001111268884","0,002780781709","73,34943639",1243,181553,4,"0,0005838515475","0,01637571451"
1447,wastefully,RB,3,"0,1,2",{(waste)}>ful>>ly>,100,9,45847,"71,34502924",343,429561,3,"5,82E-05","0,003862196818","60,09665171",2898,3857999,2,"4,48E-05","0,02672640198"
1448,wastefulness,NN,3,"0,1,2",{(waste)}>ful>>ness>,"87,5",9,45847,"58,1871345",343,429561,3,"5,82E-05","0,003862196818","28,90499195",1243,181553,4,"0,0005838515475","0,01637571451"
1457,watchfully,RB,3,"0,1,2",{(watch)}>ful>>ly>,"76,47058824",18,112901,"85,67251462",343,429561,3,"5,82E-05","0,003862196818","76,97618226",2898,3857999,2,"4,48E-05","0,02672640198"
1458,watchfulness,NN,3,"0,1,2",{(watch)}>ful>>ness>,"64,70588235",18,112901,"60,23391813",343,429561,3,"5,82E-05","0,003862196818","30,27375201",1243,181553,4,"0,0005838515475","0,01637571451"
1478,waterier,JJ,3,"0,1,2",{(water)}>y>>er>,92,51,129604,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","87,1975363",2274,4569119,2,"3,55E-05","0,02502703538"
1479,wateriest,JJ,3,"0,1,2",{(water)}>y>>est>,92,51,129604,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","69,98597475",714,287086,3,"0,0002612457591","0,01158659045"
1502,wavier,JJ,3,"0,1,2",{(wave)}>y>>er>,"83,33333333",13,41921,"47,56539235",2486,3870233,1,"4,99E-05","0,02981615943","60,66871975",2274,4569119,2,"3,55E-05","0,02502703538"
1503,waviest,JJ,3,"0,1,2",{(wave)}>y>>est>,100,13,41921,"73,64185111",2486,3870233,1,"4,99E-05","0,02981615943","59,46704067",714,287086,3,"0,0002612457591","0,01158659045"
1504,waviness,NN,3,"0,1,2",{(wave)}>y>>ness>,"91,66666667",13,41921,"49,53722334",2486,3870233,1,"4,99E-05","0,02981615943","35,99033816",1243,181553,4,"0,0005838515475","0,01637571451"
1506,waxier,JJ,3,"0,1,2",{(wax)}>y>>er>,"87,5",9,7049,"73,64185111",2486,3870233,1,"4,99E-05","0,02981615943","81,91816982",2274,4569119,2,"3,55E-05","0,02502703538"
1507,waxiest,JJ,3,"0,1,2",{(wax)}>y>>est>,100,9,7049,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","69,98597475",714,287086,3,"0,0002612457591","0,01158659045"
1508,waxiness,NN,3,"0,1,2",{(wax)}>y>>ness>,75,9,7049,"66,0362173",2486,3870233,1,"4,99E-05","0,02981615943","62,56038647",1243,181553,4,"0,0005838515475","0,01637571451"
1517,weaklier,RB,3,"0,1,2",{(weak)}>ly>>er>,100,8,33410,"86,8829824",2898,3857999,2,"4,48E-05","0,02672640198","87,1975363",2274,4569119,2,"3,55E-05","0,02502703538"
1523,wealthier,JJ,3,"0,1,2",{(wealth)}>y>>er>,80,6,19719,"23,62173038",2486,3870233,1,"4,99E-05","0,02981615943","34,5358557",2274,4569119,2,"3,55E-05","0,02502703538"
1524,wealthily,RB,3,"0,1,2",{(wealth)}>y>>ly>,100,6,19719,"66,0362173",2486,3870233,1,"4,99E-05","0,02981615943","73,86952019",2898,3857999,2,"4,48E-05","0,02672640198"
1559,weedier,JJ,3,"0,1,2",{(weed)}>y>>er>,90,11,5282,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","87,1975363",2274,4569119,2,"3,55E-05","0,02502703538"
