ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,PREF1_PFMF,PREF1_FamSize,PREF1_Freq_HAL,PREF1_length,PREF1_P,PREF1_P*,PREF2_PFMF,PREF2_FamSize,PREF2_Freq_HAL,PREF2_length,PREF2_P,PREF2_P*,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*,SUFF2_PFMF,SUFF2_FamSize,SUFF2_Freq_HAL,SUFF2_length,SUFF2_P,SUFF2_P*
22560,incontestability,NN,5,"2,1,2",<im<{<co<(test)}>able>>ity>,"92,54185693",658,610746,2,"4,26E-05","0,00401668469","95,93495935",370,1256048,2,"1,51E-05","0,002935269581","94,11764706",18,243523,"93,22617681",872,1227992,4,"3,18E-05","0,006025027035","95,50949914",580,1647588,3,"1,76E-05","0,004480148308"
22561,incontestably,RB,5,"2,1,2",<im<{<co<(test)}>able>>y>,"49,46727549",658,610746,2,"4,26E-05","0,00401668469","67,4796748",370,1256048,2,"1,51E-05","0,002935269581","47,05882353",18,243523,"49,36854191",872,1227992,4,"3,18E-05","0,006025027035","34,72837022",2486,3870233,1,"4,99E-05","0,02981615943"
22566,inconvertibility,NN,5,"2,1,2",<im<{<co<(vert)}>able>>ity>,"92,54185693",658,610746,2,"4,26E-05","0,00401668469","95,93495935",370,1256048,2,"1,51E-05","0,002935269581",92,26,60266,"93,22617681",872,1227992,4,"3,18E-05","0,006025027035","95,50949914",580,1647588,3,"1,76E-05","0,004480148308"
22572,incorruptibly,RB,5,"2,1,2",<im<{<co<(rupt)}>able>>y>,"85,23592085",658,610746,2,"4,26E-05","0,00401668469","91,32791328",370,1256048,2,"1,51E-05","0,002935269581","95,83333333",25,61032,"84,27095293",872,1227992,4,"3,18E-05","0,006025027035","66,0362173",2486,3870233,1,"4,99E-05","0,02981615943"
22614,indescribably,RB,5,"2,1,2",<im<{<de<(script)}>able>>y>,"50,68493151",658,610746,2,"4,26E-05","0,00401668469","60,2189781",275,559431,2,"4,65E-05","0,00401668469","70,73170732",42,343830,"50,28702641",872,1227992,4,"3,18E-05","0,006025027035","35,69416499",2486,3870233,1,"4,99E-05","0,02981615943"
22615,indestructibility,NN,5,"2,1,2",<im<{<de<(struct)}>able>>ity>,"70,92846271",658,610746,2,"4,26E-05","0,00401668469","80,2919708",275,559431,2,"4,65E-05","0,00401668469","82,85714286",36,214564,"72,21584386",872,1227992,4,"3,18E-05","0,006025027035","78,92918826",580,1647588,3,"1,76E-05","0,004480148308"
22616,indestructibly,RB,5,"2,1,2",<im<{<de<(struct)}>able>>y>,"89,34550989",658,610746,2,"4,26E-05","0,00401668469","92,33576642",275,559431,2,"4,65E-05","0,00401668469","91,42857143",36,214564,"88,97818599",872,1227992,4,"3,18E-05","0,006025027035","73,64185111",2486,3870233,1,"4,99E-05","0,02981615943"
29358,disinflationary,JJ,5,"2,1,2",<dis<{<in<(flate)}>ion>>ory>,"78,6440678",296,452605,3,"6,63E-05","0,004634636181","90,75630252",358,2402388,2,"6,66E-06","0,002471805963","90,90909091",12,11443,"90,80100125",1599,6530204,3,"9,03E-06","0,009114784489","83,09859155",356,725186,3,"2,62E-05","0,002935269581"
29359,disingenuously,RB,5,"2,1,2",<dis<{<in<(geni)>ious>}>ly>,"69,49152542",296,452605,3,"6,63E-05","0,004634636181","84,03361345",358,2402388,2,"6,66E-06","0,002471805963","71,42857143",8,8695,"54,70779221",617,450833,4,"7,10E-05","0,004943611926","51,05281326",2898,3857999,2,"4,48E-05","0,02672640198"
29360,disingenuousness,NN,5,"2,1,2",<dis<{<in<(geni)>ious>}>ness>,"69,83050847",296,452605,3,"6,63E-05","0,004634636181","85,71428571",358,2402388,2,"6,66E-06","0,002471805963","85,71428571",8,8695,"55,84415584",617,450833,4,"7,10E-05","0,004943611926","32,52818035",1243,181553,4,"0,0005838515475","0,01637571451"
30552,decompositions,NN,5,"2,1,2",<de<{<co<(pose)}>it>>ion>,"24,81751825",275,559431,2,"4,65E-05","0,00401668469","42,54742547",370,1256048,2,"1,51E-05","0,002935269581",50,55,328330,"30,76923077",27,111694,2,0,0,"41,23904881",1599,6530204,3,"9,03E-06","0,009114784489"
40804,unmistakably,RB,5,"2,1,2",<un<{<mis<(take)}>able>>y>,"46,67503137",798,538545,2,"7,24E-05","0,006025027035","52,72727273",111,103160,3,"0,0001260178364","0,002008342345","73,33333333",31,614526,"45,23536165",872,1227992,4,"3,18E-05","0,006025027035","31,26760563",2486,3870233,1,"4,99E-05","0,02981615943"
40826,unobtrusively,RB,5,"2,1,2",<un<{<ob<(trude)}>ive>>ly>,"51,56838143",798,538545,2,"7,24E-05","0,006025027035","70,83333333",25,170778,2,"1,17E-05","0,0003089757454","55,55555556",19,7281,"59,06735751",580,1037354,3,"1,74E-05","0,002780781709","37,07283397",2898,3857999,2,"4,48E-05","0,02672640198"
40854,unpredictably,RB,5,"2,1,2",<un<{<pre<(dict)}>able>>y>,"45,79673777",798,538545,2,"7,24E-05","0,006025027035","58,95522388",135,155948,3,"0,000102598302","0,002471805963","76,31578947",39,77658,"44,54649828",872,1227992,4,"3,18E-05","0,006025027035","30,86519115",2486,3870233,1,"4,99E-05","0,02981615943"
41319,unexceptionable,JJ,5,"2,1,2",<un<{<ex<(cept)}>ion>>able>,"76,41154329",798,538545,2,"7,24E-05","0,006025027035","78,72340426",142,581016,2,"1,89E-05","0,0016993666","85,10638298",48,216413,"88,61076345",1599,6530204,3,"9,03E-06","0,009114784489","75,7749713",872,1227992,4,"3,18E-05","0,006025027035"
41761,unbeknownst,JJ,5,"2,1,2",<un<<be<{(know)}>n>>est>,"34,25345044",798,538545,2,"7,24E-05","0,006025027035","23,80952381",85,59452,2,"0,000386866716","0,003553221072","52,63157895",20,1110615,"51,67785235",150,714837,1,"1,12E-05","0,001235902982","11,78120617",714,287086,3,"0,0002612457591","0,01158659045"
41842,unconstitutional,JJ,5,"2,1,2",<un<{<co<(stitute)}>ion>>al>,"4,015056462",798,538545,2,"7,24E-05","0,006025027035","18,69918699",370,1256048,2,"1,51E-05","0,002935269581",24,26,153966,"18,02252816",1599,6530204,3,"9,03E-06","0,009114784489","13,63636364",1431,4704731,2,"9,14E-06","0,006642978526"
41846,uncooperative,JJ,5,"2,1,2",<un<{<co<(oper)>ate>}>ive>,"34,00250941",798,538545,2,"7,24E-05","0,006025027035","53,38753388",370,1256048,2,"1,51E-05","0,002935269581","69,23076923",14,176067,"53,0982906",937,2569118,3,"2,65E-05","0,01050517534","43,52331606",580,1037354,3,"1,74E-05","0,002780781709"
41869,undemonstrative,JJ,5,"2,1,2",<un<{<de<(monster)>ate>}>ive>,"85,94730238",798,538545,2,"7,24E-05","0,006025027035","89,05109489",275,559431,2,"4,65E-05","0,00401668469",100,14,61094,"92,41452991",937,2569118,3,"2,65E-05","0,01050517534","89,29188256",580,1037354,3,"1,74E-05","0,002780781709"
49369,reproducibilities,NN,5,"2,1,2",<re<{<pro<(duct)}>able>>ity>,"73,69477912",499,2175658,2,"1,38E-05","0,004634636181","73,72881356",119,1206582,3,"2,49E-06","0,0004634636181","75,75757576",67,559015,"54,53501722",872,1227992,4,"3,18E-05","0,006025027035","64,42141623",580,1647588,3,"1,76E-05","0,004480148308"
49370,reproducibility,NN,5,"2,1,2",<re<{<pro<(duct)}>able>>ity>,"73,69477912",499,2175658,2,"1,38E-05","0,004634636181","73,72881356",119,1206582,3,"2,49E-06","0,0004634636181","75,75757576",67,559015,"54,53501722",872,1227992,4,"3,18E-05","0,006025027035","64,42141623",580,1647588,3,"1,76E-05","0,004480148308"
49371,reproducibly,RB,5,"2,1,2",<re<{<pro<(duct)}>able>>y>,"81,52610442",499,2175658,2,"1,38E-05","0,004634636181","79,66101695",119,1206582,3,"2,49E-06","0,0004634636181","86,36363636",67,559015,"65,90126292",872,1227992,4,"3,18E-05","0,006025027035","46,59959759",2486,3870233,1,"4,99E-05","0,02981615943"
49775,reincarnation,NN,5,"2,1,2",<re<{<in<(carn)>ate>}>ion>,"14,25702811",499,2175658,2,"1,38E-05","0,004634636181","18,767507",358,2402388,2,"6,66E-06","0,002471805963","12,5",9,12776,"14,42307692",937,2569118,3,"2,65E-05","0,01050517534","18,33541927",1599,6530204,3,"9,03E-06","0,009114784489"
49796,reinvigoration,NN,5,"2,1,2",<re<<in<{(vigor)}>ate>>ion>,"88,35341365",499,2175658,2,"1,38E-05","0,004634636181","88,51540616",358,2402388,2,"6,66E-06","0,002471805963",80,6,3545,"85,68376068",937,2569118,3,"2,65E-05","0,01050517534","87,922403",1599,6530204,3,"9,03E-06","0,009114784489"
50337,reevaluation,NN,5,"2,1,2",<re<{<e<(value)>ate>}>ion>,"73,4939759",499,2175658,2,"1,38E-05","0,004634636181","67,36842105",96,397964,1,"1,76E-05","0,001081415109",75,17,171463,"72,54273504",937,2569118,3,"2,65E-05","0,01050517534","74,09261577",1599,6530204,3,"9,03E-06","0,009114784489"
55805,noncontributory,JJ,5,"2,1,2",<non<{<co<(tribute)}>or>>y>,"70,42253521",72,16866,3,"0,0002964544053","0,0007724393635","93,76693767",370,1256048,2,"1,51E-05","0,002935269581",100,20,191395,"94,44444444",289,937614,2,"9,60E-06","0,001390390854","73,64185111",2486,3870233,1,"4,99E-05","0,02981615943"
55811,nondiscriminatory,JJ,5,"2,1,2",<non<{<dis<(crimin)>ate>}>ory>,"25,35211268",72,16866,3,"0,0002964544053","0,0007724393635","59,66101695",296,452605,3,"6,63E-05","0,004634636181","82,35294118",18,93592,"70,08547009",937,2569118,3,"2,65E-05","0,01050517534","61,97183099",356,725186,3,"2,62E-05","0,002935269581"
59722,irreparably,RB,5,"2,1,2",<im<{<re<(pair)}>able>>y>,"45,81430746",658,610746,2,"4,26E-05","0,00401668469","66,26506024",499,2175658,2,"1,38E-05","0,004634636181","66,66666667",13,56847,"45,92422503",872,1227992,4,"3,18E-05","0,006025027035","31,62977867",2486,3870233,1,"4,99E-05","0,02981615943"
59727,irresistibly,RB,5,"2,1,2",<im<{<re<(sist)}>able>>y>,"60,1217656",658,610746,2,"4,26E-05","0,00401668469","77,51004016",499,2175658,2,"1,38E-05","0,004634636181","78,78787879",34,143621,"60,50516648",872,1227992,4,"3,18E-05","0,006025027035","42,21327968",2486,3870233,1,"4,99E-05","0,02981615943"
59740,irreversibly,RB,5,"2,1,2",<im<{<re<(verse)}>able>>y>,"43,53120244",658,610746,2,"4,26E-05","0,00401668469","63,85542169",499,2175658,2,"1,38E-05","0,004634636181","60,71428571",29,375470,"43,74282434",872,1227992,4,"3,18E-05","0,006025027035","29,29577465",2486,3870233,1,"4,99E-05","0,02981615943"
60741,insubordination,NN,5,"2,1,2",<im<{<sub<(ordin)>ate>}>ion>,"48,70624049",658,610746,2,"4,26E-05","0,00401668469","59,04761905",106,323358,3,"1,86E-05","0,0009269272362","66,66666667",22,45460,"68,58974359",937,2569118,3,"2,65E-05","0,01050517534","69,7747184",1599,6530204,3,"9,03E-06","0,009114784489"
60827,inconsistencies,NN,5,"2,1,2",<im<{<co<(sist)>ance>}>y>,"7,305936073",658,610746,2,"4,26E-05","0,00401668469","24,11924119",370,1256048,2,"1,51E-05","0,002935269581","39,39393939",34,143621,"15,52795031",323,977837,4,"7,16E-06","0,001081415109","7,002012072",2486,3870233,1,"4,99E-05","0,02981615943"
60828,inconsistency,NN,5,"2,1,2",<im<{<co<(sist)>ance>}>y>,"7,305936073",658,610746,2,"4,26E-05","0,00401668469","24,11924119",370,1256048,2,"1,51E-05","0,002935269581","39,39393939",34,143621,"15,52795031",323,977837,4,"7,16E-06","0,001081415109","7,002012072",2486,3870233,1,"4,99E-05","0,02981615943"
60851,incorruptibility,NN,5,"2,1,2",<im<{<co<(rupt)}>able>>ity>,"71,38508371",658,610746,2,"4,26E-05","0,00401668469","85,09485095",370,1256048,2,"1,51E-05","0,002935269581",75,25,61032,"72,78989667",872,1227992,4,"3,18E-05","0,006025027035","79,2746114",580,1647588,3,"1,76E-05","0,004480148308"
60911,independently,RB,5,"2,1,2",<im<{<de<(pend)}>ant>>ly>,"3,500761035",658,610746,2,"4,26E-05","0,00401668469","7,664233577",275,559431,2,"4,65E-05","0,00401668469","24,24242424",34,169032,"11,44708423",464,1534593,3,"7,82E-06","0,001853854472","5,557473248",2898,3857999,2,"4,48E-05","0,02672640198"
61044,ineffectively,RB,5,"2,1,2",<im<{<e<(fect)}>ive>>ly>,"61,94824962",658,610746,2,"4,26E-05","0,00401668469","72,63157895",96,397964,1,"1,76E-05","0,001081415109","75,86206897",59,315367,"72,02072539",580,1037354,3,"1,74E-05","0,002780781709","47,80807732",2898,3857999,2,"4,48E-05","0,02672640198"
61045,ineffectiveness,NN,5,"2,1,2",<im<{<e<(fect)}>ive>>ness>,"45,96651446",658,610746,2,"4,26E-05","0,00401668469","61,05263158",96,397964,1,"1,76E-05","0,001081415109","62,06896552",59,315367,"54,74956822",580,1037354,3,"1,74E-05","0,002780781709","14,57326892",1243,181553,4,"0,0005838515475","0,01637571451"
61082,inexpressibly,RB,5,"2,1,2",<im<{<ex<(press)}>able>>y>,"82,80060883",658,610746,2,"4,26E-05","0,00401668469","85,10638298",142,581016,2,"1,89E-05","0,0016993666","88,88888889",73,340039,"82,2043628",872,1227992,4,"3,18E-05","0,006025027035","63,54124748",2486,3870233,1,"4,99E-05","0,02981615943"
61275,imperceptibly,RB,5,"2,1,2",<im<{<per<(cept)}>able>>y>,"46,72754947",658,610746,2,"4,26E-05","0,00401668469","50,94339623",54,126209,3,"2,38E-05","0,0004634636181","70,21276596",48,216413,"46,38346728",872,1227992,4,"3,18E-05","0,006025027035","32,11267606",2486,3870233,1,"4,99E-05","0,02981615943"
61277,imperfectability,NN,5,"2,1,2",<im<{<per<(fect)}>able>>ity>,"92,54185693",658,610746,2,"4,26E-05","0,00401668469","94,33962264",54,126209,3,"2,38E-05","0,0004634636181","96,55172414",59,315367,"93,22617681",872,1227992,4,"3,18E-05","0,006025027035","95,50949914",580,1647588,3,"1,76E-05","0,004480148308"
61448,inappropriateness,NN,5,"2,1,2",<im<{<a<(propri)>ate>}>ness>,"51,29375951",658,610746,2,"4,26E-05","0,00401668469","69,15584416",309,1336429,1,"1,72E-05","0,003553221072",100,11,84186,"70,19230769",937,2569118,3,"2,65E-05","0,01050517534","19,1626409",1243,181553,4,"0,0005838515475","0,01637571451"
61536,incoherently,RB,5,"2,1,2",<im<{<co<(_here)}>ant>>ly>,"38,50837139",658,610746,2,"4,26E-05","0,00401668469","58,53658537",370,1256048,2,"1,51E-05","0,002935269581",80,16,21083,"56,15550756",464,1534593,3,"7,82E-06","0,001853854472","28,61580946",2898,3857999,2,"4,48E-05","0,02672640198"
67287,epidemiological,JJ,5,"2,1,2",{<epi<<demi<(log)>ic>}>al>,20,16,4126,3,"0,0007270964615","0,0004634636181",50,3,894,4,0,0,"35,04672897",215,380513,"30,9970385",1014,1472797,2,"2,78E-05","0,006334002781","40,97902098",1431,4704731,2,"9,14E-06","0,006642978526"
68612,disproportionately,RB,5,"2,1,2",<dis<{<pro<(portion)}>ate>>ly>,"32,54237288",296,452605,3,"6,63E-05","0,004634636181","49,15254237",119,1206582,3,"2,49E-06","0,0004634636181","28,57142857",15,33674,"42,52136752",937,2569118,3,"2,65E-05","0,01050517534","18,81256472",2898,3857999,2,"4,48E-05","0,02672640198"
69293,desegregation,NN,5,"2,1,2",<de<{<se<(greg)>ate>}>ion>,"64,96350365",275,559431,2,"4,65E-05","0,00401668469","71,42857143",15,6736,2,0,0,"62,5",17,31035,"72,75641026",937,2569118,3,"2,65E-05","0,01050517534","74,65581977",1599,6530204,3,"9,03E-06","0,009114784489"
70296,decomposition,NN,5,"2,1,2",<de<{<co<(pose)}>it>>ion>,"24,81751825",275,559431,2,"4,65E-05","0,00401668469","42,54742547",370,1256048,2,"1,51E-05","0,002935269581",50,55,328330,"30,76923077",27,111694,2,0,0,"41,23904881",1599,6530204,3,"9,03E-06","0,009114784489"
77241,asymmetrical,JJ,5,"2,1,2",<a<{<sy<(meter)>ic>}>al>,"54,87012987",309,1336429,1,"1,72E-05","0,003553221072","71,42857143",8,3936,2,0,0,"47,36842105",58,68090,"44,91609082",1014,1472797,2,"2,78E-05","0,006334002781","53,21678322",1431,4704731,2,"9,14E-06","0,006642978526"
77930,anesthetically,RB,5,"2,1,2",{<a<<es<(thet)>ic>}>ly>,"96,42857143",309,1336429,1,"1,72E-05","0,003553221072",100,5,957,2,0,0,"92,30769231",14,4465,"94,37314906",1014,1472797,2,"2,78E-05","0,006334002781","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
