ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,PREF1_PFMF,PREF1_FamSize,PREF1_Freq_HAL,PREF1_length,PREF1_P,PREF1_P*,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*,SUFF2_PFMF,SUFF2_FamSize,SUFF2_Freq_HAL,SUFF2_length,SUFF2_P,SUFF2_P*,SUFF3_PFMF,SUFF3_FamSize,SUFF3_Freq_HAL,SUFF3_length,SUFF3_P,SUFF3_P*
12513,prehistorically,RB,5,"1,1,3",<pre<{(history)>ic>}>al>>ly>,"93,28358209",135,155948,3,"0,000102598302","0,002471805963","91,66666667",13,124154,"90,91806515",1014,1472797,2,"2,78E-05","0,006334002781","93,98601399",1431,4704731,2,"9,14E-06","0,006642978526","80,98032447",2898,3857999,2,"4,48E-05","0,02672640198"
15367,overcapitalizations,NN,5,"1,1,3",<over<{(capit)>al>}>ize>>ion>,"91,07142857",169,151096,4,"0,0001058929422","0,002471805963","90,90909091",12,41466,"93,98601399",1431,4704731,2,"9,14E-06","0,006642978526","91,14219114",430,443161,3,"0,0001489300728","0,0101961996","96,05757196",1599,6530204,3,"9,03E-06","0,009114784489"
16008,nonsensically,RB,5,"1,1,3",{<non<(sense)}>ic>>al>>ly>,"59,15492958",72,16866,3,"0,0002964544053","0,0007724393635","91,11111111",46,144057,"81,93484699",1014,1472797,2,"2,78E-05","0,006334002781","87,13286713",1431,4704731,2,"9,14E-06","0,006642978526","67,06938212",2898,3857999,2,"4,48E-05","0,02672640198"
16259,objectionably,RB,5,"1,1,3",{<ob<(ject)}>ion>>able>>y>,"83,33333333",25,170778,2,"1,17E-05","0,0003089757454","94,28571429",36,444648,"89,17396746",1599,6530204,3,"9,03E-06","0,009114784489","77,03788749",872,1227992,4,"3,18E-05","0,006025027035","56,9416499",2486,3870233,1,"4,99E-05","0,02981615943"
17298,monopolistically,RB,5,"1,1,3",{<mono<(pol)>ist>}>ic>>ly>,"86,66666667",46,27262,4,"7,34E-05","0,0003089757454","94,11764706",18,25765,"84,164859",462,382916,3,"6,27E-05","0,003707708945","79,26949654",1014,1472797,2,"2,78E-05","0,006334002781","62,37487056",2898,3857999,2,"4,48E-05","0,02672640198"
18143,metaphysically,RB,5,"1,1,3",<meta<{(phys)>ic>>al>}>ly>,"78,57142857",15,12295,4,0,0,"60,71428571",29,107401,"49,45705824",1014,1472797,2,"2,78E-05","0,006334002781","58,74125874",1431,4704731,2,"9,14E-06","0,006642978526","32,03313773",2898,3857999,2,"4,48E-05","0,02672640198"
21577,internationalization,NN,5,"1,1,3",<inter<{(nation)}>al>>ize>>ion>,"30,97345133",114,343106,5,"8,74E-06","0,0004634636181","40,90909091",23,303858,"32,93706294",1431,4704731,2,"9,14E-06","0,006642978526","20,04662005",430,443161,3,"0,0001489300728","0,0101961996","38,17271589",1599,6530204,3,"9,03E-06","0,009114784489"
21619,interrogatively,RB,5,"1,1,3",{<inter<(rog)>ate>}>ive>>ly>,"96,46017699",114,343106,5,"8,74E-06","0,0004634636181",100,15,5491,"96,47435897",937,2569118,3,"2,65E-05","0,01050517534","94,99136442",580,1037354,3,"1,74E-05","0,002780781709","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
21912,inequitably,RB,5,"1,1,3",<im<{(equi)>it>>able>}>y>,"78,08219178",658,610746,2,"4,26E-05","0,00401668469","77,55102041",50,127793,"92,30769231",27,111694,2,0,0,"77,72675086",872,1227992,4,"3,18E-05","0,006025027035","57,90744467",2486,3870233,1,"4,99E-05","0,02981615943"
22007,influentially,RB,5,"1,1,3",{<in<(flu)>ance>}>al>>ly>,"92,43697479",358,2402388,2,"6,66E-06","0,002471805963","86,66666667",16,38118,"87,88819876",323,977837,4,"7,16E-06","0,001081415109","89,37062937",1431,4704731,2,"9,14E-06","0,006642978526","70,93545047",2898,3857999,2,"4,48E-05","0,02672640198"
22060,inharmoniously,RB,5,"1,1,3",<im<{(harmon)>y>}>ious>>ly>,"92,54185693",658,610746,2,"4,26E-05","0,00401668469",80,16,12033,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","87,98701299",617,450833,4,"7,10E-05","0,004943611926","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
22061,inharmoniousness,NN,5,"1,1,3",<im<{(harmon)>y>}>ious>>ness>,"92,54185693",658,610746,2,"4,26E-05","0,00401668469",80,16,12033,"81,08651911",2486,3870233,1,"4,99E-05","0,02981615943","87,98701299",617,450833,4,"7,10E-05","0,004943611926","81,80354267",1243,181553,4,"0,0005838515475","0,01637571451"
22129,inquisitorially,RB,5,"1,1,3",{<in<(quire)>or>}>al>>y>,"96,07843137",358,2402388,2,"6,66E-06","0,002471805963",96,26,311285,"95,48611111",289,937614,2,"9,60E-06","0,001390390854","96,08391608",1431,4704731,2,"9,14E-06","0,006642978526","81,08651911",2486,3870233,1,"4,99E-05","0,02981615943"
22164,insignificantly,RB,5,"1,1,3",<im<{(sign)}>ify>>ant>>ly>,"68,18873668",658,610746,2,"4,26E-05","0,00401668469",64,26,219005,"78,28947368",153,351545,3,"3,98E-05","0,002162830218","79,48164147",464,1534593,3,"7,82E-06","0,001853854472","52,84777356",2898,3857999,2,"4,48E-05","0,02672640198"
22206,institutionalizes,VB,5,"1,1,3",{<in<(stitute)}>ion>>al>>ize>,"40,6162465",358,2402388,2,"6,66E-06","0,002471805963",56,26,153966,"37,79724656",1599,6530204,3,"9,03E-06","0,009114784489","32,72727273",1431,4704731,2,"9,14E-06","0,006642978526","19,58041958",430,443161,3,"0,0001489300728","0,0101961996"
22207,institutionalizing,VB|NN|JJ,5,"1,1,3",{<in<(stitute)}>ion>>al>>ize>,"40,6162465",358,2402388,2,"6,66E-06","0,002471805963",56,26,153966,"37,79724656",1599,6530204,3,"9,03E-06","0,009114784489","32,72727273",1431,4704731,2,"9,14E-06","0,006642978526","19,58041958",430,443161,3,"0,0001489300728","0,0101961996"
22384,impracticability,NN,5,"1,1,3",<im<{(pract)>ic>>able>}>ity>,"78,08219178",658,610746,2,"4,26E-05","0,00401668469",70,21,100783,"79,86179664",1014,1472797,2,"2,78E-05","0,006334002781","77,72675086",872,1227992,4,"3,18E-05","0,006025027035","84,97409326",580,1647588,3,"1,76E-05","0,004480148308"
22385,impracticably,RB,5,"1,1,3",<im<{(pract)>ic>>able>}>y>,"92,54185693",658,610746,2,"4,26E-05","0,00401668469",95,21,100783,"94,37314906",1014,1472797,2,"2,78E-05","0,006334002781","93,22617681",872,1227992,4,"3,18E-05","0,006025027035","81,08651911",2486,3870233,1,"4,99E-05","0,02981615943"
22386,impractically,RB,5,"1,1,3",<im<{(pract)>ic>>al>}>ly>,"82,80060883",658,610746,2,"4,26E-05","0,00401668469",80,21,100783,"84,89634748",1014,1472797,2,"2,78E-05","0,006334002781","89,37062937",1431,4704731,2,"9,14E-06","0,006642978526","70,93545047",2898,3857999,2,"4,48E-05","0,02672640198"
22389,impracticableness,NN,5,"1,1,3",<im<{(pract)>ic>>able>}>ness>,"92,54185693",658,610746,2,"4,26E-05","0,00401668469",95,21,100783,"94,37314906",1014,1472797,2,"2,78E-05","0,006334002781","93,22617681",872,1227992,4,"3,18E-05","0,006025027035","81,80354267",1243,181553,4,"0,0005838515475","0,01637571451"
22401,impressionability,NN,5,"1,1,3",{<in<(press)}>ion>>able>>ity>,"93,83753501",358,2402388,2,"6,66E-06","0,002471805963","91,66666667",73,340039,"96,05757196",1599,6530204,3,"9,03E-06","0,009114784489","88,97818599",872,1227992,4,"3,18E-05","0,006025027035","92,74611399",580,1647588,3,"1,76E-05","0,004480148308"
22402,impressionably,RB,5,"1,1,3",{<in<(press)}>ion>>able>>y>,"96,07843137",358,2402388,2,"6,66E-06","0,002471805963","94,44444444",73,340039,"97,55944931",1599,6530204,3,"9,03E-06","0,009114784489","93,22617681",872,1227992,4,"3,18E-05","0,006025027035","81,08651911",2486,3870233,1,"4,99E-05","0,02981615943"
22454,inartistically,RB,5,"1,1,3",<im<{(art)}>ist>>ic>>ly>,"92,54185693",658,610746,2,"4,26E-05","0,00401668469","94,11764706",18,126557,"95,66160521",462,382916,3,"6,27E-05","0,003707708945","94,37314906",1014,1472797,2,"2,78E-05","0,006334002781","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
22815,HYPERCELLULARITY,NN,5,"1,1,3",<hyper<{(cell)>ule>}>ar>>ity>,"84,61538462",14,1760,5,0,0,80,6,53278,75,17,9816,3,0,0,"91,40625",129,533962,2,"7,49E-06","0,0006179514908","95,50949914",580,1647588,3,"1,76E-05","0,004480148308"
22837,HYPOCELLULARITY,NN,5,"1,1,3",<hypo<{(cell)>ule>}>ar>>ity>,100,19,17644,4,"0,0001700294718","0,0004634636181",80,6,53278,75,17,9816,3,0,0,"91,40625",129,533962,2,"7,49E-06","0,0006179514908","95,50949914",580,1647588,3,"1,76E-05","0,004480148308"
22840,hypocritically,RB,5,"1,1,3",{<hypo<(crite)}>ic>>al>>ly>,"55,55555556",19,17644,4,"0,0001700294718","0,0004634636181",100,3,4194,"55,08390918",1014,1472797,2,"2,78E-05","0,006334002781","63,07692308",1431,4704731,2,"9,14E-06","0,006642978526","35,79565067",2898,3857999,2,"4,48E-05","0,02672640198"
22952,ignominiously,RB,5,"1,1,3",{<im<(nomin)>y>}>ious>>ly>,"76,56012177",658,610746,2,"4,26E-05","0,00401668469","77,77777778",37,34420,"56,9416499",2486,3870233,1,"4,99E-05","0,02981615943","66,3961039",617,450833,4,"7,10E-05","0,004943611926","62,37487056",2898,3857999,2,"4,48E-05","0,02672640198"
27002,extortionately,RB,5,"1,1,3",{<ex<(tort)}>ion>>ate>>ly>,"86,5248227",142,581016,2,"1,89E-05","0,0016993666","85,71428571",15,15330,"93,6795995",1599,6530204,3,"9,03E-06","0,009114784489","92,41452991",937,2569118,3,"2,65E-05","0,01050517534","73,86952019",2898,3857999,2,"4,48E-05","0,02672640198"
27439,eulogistically,RB,5,"1,1,3",{<eu<(log)>ist>}>ic>>ly>,"94,11764706",18,2603,2,"0,0007683442182","0,0003089757454","95,79439252",215,380513,"95,66160521",462,382916,3,"6,27E-05","0,003707708945","94,37314906",1014,1472797,2,"2,78E-05","0,006334002781","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
27445,euphemistically,RB,5,"1,1,3",{<eu<(phem)>ist>}>ic>>ly>,"35,29411765",18,2603,2,"0,0007683442182","0,0003089757454",50,3,841,"55,53145336",462,382916,3,"6,27E-05","0,003707708945","51,33267522",1014,1472797,2,"2,78E-05","0,006334002781","32,96513635",2898,3857999,2,"4,48E-05","0,02672640198"
27636,exhibitionistic,JJ,5,"1,1,3",{<ex<(hibit)}>ion>>ist>>ic>,"63,12056738",142,581016,2,"1,89E-05","0,0016993666","83,33333333",19,40276,"74,96871089",1599,6530204,3,"9,03E-06","0,009114784489","65,29284165",462,382916,3,"6,27E-05","0,003707708945","63,37611056",1014,1472797,2,"2,78E-05","0,006334002781"
27719,expressionlessly,RB,5,"1,1,3",{<ex<(press)}>ion>>less>>ly>,"90,07092199",142,581016,2,"1,89E-05","0,0016993666","91,66666667",73,340039,"96,05757196",1599,6530204,3,"9,03E-06","0,009114784489","85,55858311",368,158354,4,"0,0001199843389","0,002935269581","80,98032447",2898,3857999,2,"4,48E-05","0,02672640198"
27760,externalizations,NN,5,"1,1,3",{<ex<(tern)>al>}>ize>>ion>,"88,65248227",142,581016,2,"1,89E-05","0,0016993666",100,13,84483,"91,53846154",1431,4704731,2,"9,14E-06","0,006642978526","88,57808858",430,443161,3,"0,0001489300728","0,0101961996","94,68085106",1599,6530204,3,"9,03E-06","0,009114784489"
30246,derogatorily,RB,5,"1,1,3",{<de<(rog)>ate>}>ory>>ly>,"73,72262774",275,559431,2,"4,65E-05","0,00401668469","78,57142857",15,5491,"79,59401709",937,2569118,3,"2,65E-05","0,01050517534","72,3943662",356,725186,3,"2,62E-05","0,002935269581","50,60407318",2898,3857999,2,"4,48E-05","0,02672640198"
30691,degeneratively,RB,5,"1,1,3",{<de<(gener)>ate>}>ive>>ly>,"92,33576642",275,559431,2,"4,65E-05","0,00401668469",100,20,318254,"94,65811966",937,2569118,3,"2,65E-05","0,01050517534","92,74611399",580,1037354,3,"1,74E-05","0,002780781709","80,98032447",2898,3857999,2,"4,48E-05","0,02672640198"
30872,demonstratively,RB,5,"1,1,3",{<de<(monster)>ate>}>ive>>ly>,"78,46715328",275,559431,2,"4,65E-05","0,00401668469","92,30769231",14,61094,"82,90598291",937,2569118,3,"2,65E-05","0,01050517534","76,8566494",580,1037354,3,"1,74E-05","0,002780781709","55,36762168",2898,3857999,2,"4,48E-05","0,02672640198"
30890,denationalization,NN,5,"1,1,3",<de<{(nation)}>al>>ize>>ion>,"59,48905109",275,559431,2,"4,65E-05","0,00401668469","77,27272727",23,303858,"64,54545455",1431,4704731,2,"9,14E-06","0,006642978526","56,17715618",430,443161,3,"0,0001489300728","0,0101961996","70,71339174",1599,6530204,3,"9,03E-06","0,009114784489"
32112,containerization,NN,5,"1,1,3",{<co<(tain)}>er>>ize>>ion>,"93,76693767",370,1256048,2,"1,51E-05","0,002935269581",100,18,225416,"81,91816982",2274,4569119,2,"3,55E-05","0,02502703538","91,14219114",430,443161,3,"0,0001489300728","0,0101961996","96,05757196",1599,6530204,3,"9,03E-06","0,009114784489"
32856,constitutionalists,NN,5,"1,1,3",{<co<(stitute)}>ion>>al>>ist>,"67,4796748",370,1256048,2,"1,51E-05","0,002935269581",84,26,153966,"70,46307885",1599,6530204,3,"9,03E-06","0,009114784489","64,1958042",1431,4704731,2,"9,14E-06","0,006642978526","61,38828633",462,382916,3,"6,27E-05","0,003707708945"
32857,constitutionalized,VB|JJ,5,"1,1,3",{<co<(stitute)}>ion>>al>>ize>,"93,76693767",370,1256048,2,"1,51E-05","0,002935269581",100,26,153966,"96,05757196",1599,6530204,3,"9,03E-06","0,009114784489","93,98601399",1431,4704731,2,"9,14E-06","0,006642978526","91,14219114",430,443161,3,"0,0001489300728","0,0101961996"
32858,constitutionalizes,VB,5,"1,1,3",{<co<(stitute)}>ion>>al>>ize>,"93,76693767",370,1256048,2,"1,51E-05","0,002935269581",100,26,153966,"96,05757196",1599,6530204,3,"9,03E-06","0,009114784489","93,98601399",1431,4704731,2,"9,14E-06","0,006642978526","91,14219114",430,443161,3,"0,0001489300728","0,0101961996"
32859,constitutionalizing,VB|NN|JJ,5,"1,1,3",{<co<(stitute)}>ion>>al>>ize>,"93,76693767",370,1256048,2,"1,51E-05","0,002935269581",100,26,153966,"96,05757196",1599,6530204,3,"9,03E-06","0,009114784489","93,98601399",1431,4704731,2,"9,14E-06","0,006642978526","91,14219114",430,443161,3,"0,0001489300728","0,0101961996"
32860,constitutionally,RB,5,"1,1,3",{<co<(stitute)}>ion>>al>>ly>,"33,60433604",370,1256048,2,"1,51E-05","0,002935269581",52,26,153966,"32,22778473",1599,6530204,3,"9,03E-06","0,009114784489","27,27272727",1431,4704731,2,"9,14E-06","0,006642978526","12,18501899",2898,3857999,2,"4,48E-05","0,02672640198"
33015,coincidentally,RB,5,"1,1,3",{<co<(incide)}>ant>>al>>ly>,"40,10840108",370,1256048,2,"1,51E-05","0,002935269581",75,5,9565,"32,18142549",464,1534593,3,"7,82E-06","0,001853854472","33,07692308",1431,4704731,2,"9,14E-06","0,006642978526","14,87745944",2898,3857999,2,"4,48E-05","0,02672640198"
33043,collaborationism,NN,5,"1,1,3",{<co<(labor)>ate>}>ion>>ism>,"95,93495935",370,1256048,2,"1,51E-05","0,002935269581","86,66666667",16,58951,"96,47435897",937,2569118,3,"2,65E-05","0,01050517534","97,55944931",1599,6530204,3,"9,03E-06","0,009114784489","95,55555556",271,218200,3,"5,50E-05","0,001853854472"
33044,collaborationists,NN,5,"1,1,3",{<co<(labor)>ate>}>ion>>ist>,"84,28184282",370,1256048,2,"1,51E-05","0,002935269581",80,16,58951,"83,65384615",937,2569118,3,"2,65E-05","0,01050517534","85,54443054",1599,6530204,3,"9,03E-06","0,009114784489","79,82646421",462,382916,3,"6,27E-05","0,003707708945"
33048,collaborationist,NN|JJ,5,"1,1,3",{<co<(labor)>ate>}>ion>>ist>,"84,28184282",370,1256048,2,"1,51E-05","0,002935269581",80,16,58951,"83,65384615",937,2569118,3,"2,65E-05","0,01050517534","85,54443054",1599,6530204,3,"9,03E-06","0,009114784489","79,82646421",462,382916,3,"6,27E-05","0,003707708945"
37859,atheistical,JJ,5,"1,1,3",{<a<(theo)>ist>}>ic>>al>,"90,90909091",309,1336429,1,"1,72E-05","0,003553221072","89,28571429",29,30978,"88,5032538",462,382916,3,"6,27E-05","0,003707708945","84,89634748",1014,1472797,2,"2,78E-05","0,006334002781","89,37062937",1431,4704731,2,"9,14E-06","0,006642978526"
37861,atheistically,RB,5,"1,1,3",{<a<(theo)>ist>}>ic>>ly>,"92,53246753",309,1336429,1,"1,72E-05","0,003553221072","92,85714286",29,30978,"91,10629067",462,382916,3,"6,27E-05","0,003707708945","88,45014808",1014,1472797,2,"2,78E-05","0,006334002781","76,97618226",2898,3857999,2,"4,48E-05","0,02672640198"
38132,apathetically,RB,5,"1,1,3",{<a<(patho)>ic>}>al>>ly>,"89,28571429",309,1336429,1,"1,72E-05","0,003553221072","79,16666667",49,81153,"81,93484699",1014,1472797,2,"2,78E-05","0,006334002781","87,13286713",1431,4704731,2,"9,14E-06","0,006642978526","67,06938212",2898,3857999,2,"4,48E-05","0,02672640198"
40465,utopianism,NN,5,"1,1,3",{<u<(top)>ia>}>n>>ism>,100,3,2215,1,0,0,"65,2173913",24,128587,"77,77777778",46,69613,2,0,0,"77,18120805",150,714837,1,"1,12E-05","0,001235902982","71,11111111",271,218200,3,"5,50E-05","0,001853854472"
40889,unrealistically,RB,5,"1,1,3",<un<{(real)}>ist>>ic>>ly>,"43,16185696",798,538545,2,"7,24E-05","0,006025027035",80,16,660297,"49,02386117",462,382916,3,"6,27E-05","0,003707708945","48,07502468",1014,1472797,2,"2,78E-05","0,006334002781","30,41076976",2898,3857999,2,"4,48E-05","0,02672640198"
40982,unsophisticated,JJ,5,"1,1,3",<un<{(soph)>ist>>ic>>ate>},"31,74404015",798,538545,2,"7,24E-05","0,006025027035","57,14285714",15,39925,"37,52711497",462,382916,3,"6,27E-05","0,003707708945","38,10463968",1014,1472797,2,"2,78E-05","0,006334002781","51,38888889",937,2569118,3,"2,65E-05","0,01050517534"
44182,symmetrically,RB,5,"1,1,3",{<sy<(meter)>ic>}>al>>ly>,"85,71428571",8,3936,2,0,0,"61,40350877",58,68090,"54,3928924",1014,1472797,2,"2,78E-05","0,006334002781","62,16783217",1431,4704731,2,"9,14E-06","0,006642978526","35,03624439",2898,3857999,2,"4,48E-05","0,02672640198"
47405,segregationist,NN|JJ,5,"1,1,3",{<se<(greg)>ate>}>ion>>ist>,"64,28571429",15,6736,2,0,0,"56,25",17,31035,"69,12393162",937,2569118,3,"2,65E-05","0,01050517534","70,46307885",1599,6530204,3,"9,03E-06","0,009114784489","61,38828633",462,382916,3,"6,27E-05","0,003707708945"
49644,refrigeration,NN,5,"1,1,3",{<re<(frig)>er>>ate>}>ion>,"43,37349398",499,2175658,2,"1,38E-05","0,004634636181",25,9,4212,"25,25296964",2274,4569119,2,"3,55E-05","0,02502703538","40,70512821",937,2569118,3,"2,65E-05","0,01050517534","43,74217772",1599,6530204,3,"9,03E-06","0,009114784489"
49645,refrigerator,NN,5,"1,1,3",{<re<(frig)>er>>ate>}>or>,"20,88353414",499,2175658,2,"1,38E-05","0,004634636181",0,9,4212,"12,14254289",2274,4569119,2,"3,55E-05","0,02502703538","19,87179487",937,2569118,3,"2,65E-05","0,01050517534","26,38888889",289,937614,2,"9,60E-06","0,001390390854"
49646,refrigerators,NN,5,"1,1,3",{<re<(frig)>er>>ate>}>or>,"20,88353414",499,2175658,2,"1,38E-05","0,004634636181",0,9,4212,"12,14254289",2274,4569119,2,"3,55E-05","0,02502703538","19,87179487",937,2569118,3,"2,65E-05","0,01050517534","26,38888889",289,937614,2,"9,60E-06","0,001390390854"
51217,prognostication,NN,5,"1,1,3",{<pro<(gnose)>ic>}>ate>>ion>,"68,6440678",119,1206582,3,"2,49E-06","0,0004634636181",50,13,15586,"55,28134255",1014,1472797,2,"2,78E-05","0,006334002781","67,73504274",937,2569118,3,"2,65E-05","0,01050517534","69,02377972",1599,6530204,3,"9,03E-06","0,009114784489"
51218,prognosticator,NN,5,"1,1,3",{<pro<(gnose)>ic>}>ate>>or>,"78,81355932",119,1206582,3,"2,49E-06","0,0004634636181",75,13,15586,"68,90424482",1014,1472797,2,"2,78E-05","0,006334002781","78,52564103",937,2569118,3,"2,65E-05","0,01050517534","79,16666667",289,937614,2,"9,60E-06","0,001390390854"
54541,overcapitalization,NN,5,"1,1,3",<over<{(capit)>al>}>ize>>ion>,"91,07142857",169,151096,4,"0,0001058929422","0,002471805963","90,90909091",12,41466,"93,98601399",1431,4704731,2,"9,14E-06","0,006642978526","91,14219114",430,443161,3,"0,0001489300728","0,0101961996","96,05757196",1599,6530204,3,"9,03E-06","0,009114784489"
60157,internalization,NN,5,"1,1,3",{<in<(tern)>al>}>ize>>ion>,"80,11204482",358,2402388,2,"6,66E-06","0,002471805963","91,66666667",13,84483,"72,58741259",1431,4704731,2,"9,14E-06","0,006642978526","65,03496503",430,443161,3,"0,0001489300728","0,0101961996","78,66082603",1599,6530204,3,"9,03E-06","0,009114784489"
60264,intoxication,NN,5,"1,1,3",{<in<(toxico)>ic>>ate>}>ion>,"50,42016807",358,2402388,2,"6,66E-06","0,002471805963","62,5",9,9315,"29,91115499",1014,1472797,2,"2,78E-05","0,006334002781","42,84188034",937,2569118,3,"2,65E-05","0,01050517534","45,61952441",1599,6530204,3,"9,03E-06","0,009114784489"
60717,institutionalize,VB,5,"1,1,3",{<in<(stitute)}>ion>>al>>ize>,"40,6162465",358,2402388,2,"6,66E-06","0,002471805963",56,26,153966,"37,79724656",1599,6530204,3,"9,03E-06","0,009114784489","32,72727273",1431,4704731,2,"9,14E-06","0,006642978526","19,58041958",430,443161,3,"0,0001489300728","0,0101961996"
60718,institutionalized,VB|JJ,5,"1,1,3",{<in<(stitute)}>ion>>al>>ize>,"40,6162465",358,2402388,2,"6,66E-06","0,002471805963",56,26,153966,"37,79724656",1599,6530204,3,"9,03E-06","0,009114784489","32,72727273",1431,4704731,2,"9,14E-06","0,006642978526","19,58041958",430,443161,3,"0,0001489300728","0,0101961996"
60816,intentionally,RB,5,"1,1,3",{<in<(tend)}>ion>>al>>ly>,"16,52661064",358,2402388,2,"6,66E-06","0,002471805963","36,84210526",20,212044,"16,7709637",1599,6530204,3,"9,03E-06","0,009114784489","12,86713287",1431,4704731,2,"9,14E-06","0,006642978526","6,144287194",2898,3857999,2,"4,48E-05","0,02672640198"
60979,individualistic,JJ,5,"1,1,3",{<im<(divide)>al>}>ist>>ic>,"34,09436834",658,610746,2,"4,26E-05","0,00401668469","70,83333333",25,182135,"49,51048951",1431,4704731,2,"9,14E-06","0,006642978526","40,13015184",462,382916,3,"6,27E-05","0,003707708945","39,98025666",1014,1472797,2,"2,78E-05","0,006334002781"
60982,individualization,NN,5,"1,1,3",{<im<(divide)>al>}>ize>>ion>,"68,18873668",658,610746,2,"4,26E-05","0,00401668469","91,66666667",25,182135,"78,67132867",1431,4704731,2,"9,14E-06","0,006642978526","72,96037296",430,443161,3,"0,0001489300728","0,0101961996","83,60450563",1599,6530204,3,"9,03E-06","0,009114784489"
